gaia_source_id,simbad_id,ra_deg,dec_deg,gmag,nuv,xray,short_name,type,class_this_work
4702994514879977472,,1.93013,-69.99658,19.153,17.726,ROSAT,J0007-6959,polar,True
4697621824327141248,V* BL Hyi,25.25167,-67.89097,17.2134,17.657,XMM-NEWTON,J0141-6753,polar,False
4617143036371460864,,29.15513,-83.97617,16.697,17.260,ROSAT,J0156-8358,CV,True
5093945085525624448,SSS J035055.8-204817,57.73329,-20.80439,14.775,17.627,,J0350-2048,YSO,False
5107845936158224768,,58.54296,-16.88056,17.346,18.048,ROSAT,J0354-1652,CV,True
3302990624137350528,CRTS J035758.7+102943,59.49442,10.49511,18.102,,XMM-NEWTON,J0357+1029,polar,False
473695898746498560,,62.09108,60.78031,15.553,19.64,,J0408+6046,YSO,True
4871949697851411456,,67.04808,-33.00039,18.182,18.89,,J0428-3300,polar,True
4628229751415342976,,68.79008,-75.46222,16.912,17.424,ROSAT,J0435-7527,polar,True
159891122647000192,,73.22733,30.28861,18.524,21.32,,J0452+3017,IP,True
4877265084954805504,PPMXL 2431202680279124324,75.95521,-28.38564,17.731,17.876,XMM-NEWTON,J0503-2823,IP,False
3223542525253775104,2MASS J05301240+0148214,82.55167,1.80594,16.612,,,J0530+0148,YSO,False
4798833587650467200,V* UW Pic,82.89854,-46.40139,15.861,18.099,XMM-NEWTON,J0531-4624,polar,False
3223900068396361856,2MASS J05315396+0242310,82.97483,2.70867,17.742,,,J0531+0242,YSO,False
3016473390180542720,2MASS J05371640-0711463,84.31838,-7.19622,17.481,,,J0537-0711,YSO,False
3334578455035280128,,84.76467,8.40675,18.563,,,J0539+0824,YSO,True
3216423702860032896,2MASS J05405519-0247497,85.22996,-2.79717,17.466,,,J0540-0247,YSO,False
3336335474617325568,Gaia DR2 3336335474617325568,85.27967,9.31206,17.353,,,J0541+0918,YSO,False
3216159442110928256,2MASS J05422602-0308566,85.60846,-3.14911,17.077,,,J0542-0308,YSO,False
3335057979544055168,,87.87079,7.87806,17.808,,,J0551+0752,YSO,True
3100846613967311232,,104.313,-6.26183,16.745,,,J0657-0615,YSO,True
3116059834803771904,PPMXL 3189652360374206258,106.70383,3.41314,17.134,,XMM-NEWTON,J0706+0324,polar,False
1101817445394854400,V* HS Cam,109.8105,65.96231,18.784,18.48,XMM-NEWTON,J0719+6557,polar,False
5532757148220186880,,119.88462,-44.207,18.123,,,J0759-4412,YSO,True
3038572263932589696,,122.02862,-9.58711,18.4041,,,J0808-0935,unclear,False
5719598950133755392,V* VV Pup,123.77833,-19.05494,15.955,,XMM-NEWTON,J0815-1903,polar,False
5329108769930689664,Gaia DR2 5329108769930689664,130.69071,-48.195,17.873,,,J0842-4811,YSO,False
790222752096510592,,171.43475,50.205,18.7939,18.743,,J1125+5012,unclear,False
5788603818854455680,[FLG2003] eps Cha 11,180.43113,-78.59644,17.111,,,J1201-7835,YSO,False
3513017956589117056,,186.65792,-23.07069,19.536,22.97,,J1226-2304,unclear,False
6086028036361965952,,195.48617,-47.03483,15.315,,,J1301-4702,YSO,True
6067533838480626432,,196.44988,-55.04278,16.249,,,J1305-5502,YSO,True
3718095055765579136,BPS CS 30311-0012,201.34325,6.008,14.538,18.75,,J1325+0600,YSO,False
6096905573613586944,V* V834 Cen,212.28037,-45.28778,16.609,,XMM-NEWTON,J1409-4517,polar,False
5846719394999359232,,216.41854,-68.62581,18.406,,,J1425-6837,CV,True
5893562752219619200,2MASS J14534105-5521387,223.42108,-55.36075,15.214,,INTEGRAL,J1453-5521,polar,False
6243210920137332096,CRTS J155929.1-223618,239.87171,-22.60486,16.937,,,J1559-2236,YSO,False
6243223873758073728,EPIC 204388640,240.51792,-22.52969,17.209,,,J1602-2231,YSO,False
6242434969863194880,2MASS J16063093-2258150,241.62883,-22.97086,18.475,,,J1606-2258,YSO,False
6048855674228736128,Gaia DR2 6048855674228736128,244.43658,-25.15431,17.882,,,J1617-2509,YSO,False
6033663795136741888,,254.46921,-26.53128,17.6845,,,J1657-2631,unclear,False
4476137370261520000,V* V2301 Oph,270.14804,8.17053,16.605,17.540,XMM-NEWTON,J1800+0810,polar,False
4585783762161656832,,277.12279,28.39611,15.489,18.25,,J1828+2823,YSO,True
4273036059117893632,2MASS J18294021+0015127,277.41758,0.25361,18.384,,,J1829+0015,YSO,False
4079708070610098432,,281.47154,-21.77636,17.644,,,J1845-2146,unclear,False
2262055164796424576,V* EP Dra,286.77579,69.14553,18.046,17.969,XMM-NEWTON,J1907+6908,polar,False
6712706405280342784,,288.05717,-44.17919,17.094,18.411,,J1912-4410,pulsar,False
4186053835982000512,,289.31696,-12.52131,15.894,19.38,,J1917-1231,YSO,True
6640165468504197120,2MASS J19293303-5603434,292.38767,-56.06194,17.328,,,J1929-5603,polar,False
6909026160627539840,,314.97042,-7.78719,19.1572,,,J2059-0747,unclear,False
6883251168530612352,,315.35279,-16.26875,18.7265,,,J2101-1616,unclear,False
6827850007422236928,,319.80258,-23.13586,18.6381,,,J2119-2308,unclear,False
2222486906706076544,2MASS J21205785+6848183,320.24104,68.80511,17.018,,,J2120+6848,YSO,False
1956566510538468224,Gaia DR2 1956566510538468224,331.21121,40.144,18.498,19.79,ROSAT,J2204+4008,polar,False
1777232423131443840,RX J2218.5+1925,334.6365,19.42236,17.312,18.053,XMM-NEWTON,J2218+1925,polar,False
1925212909978565632,,354.04717,44.42767,16.907,,,J2336+4425,YSO,True
