station,file,t_peak_s,is_burst,n_channels,f_lo_mhz,f_hi_mhz,drift_mhz_s,r2
ALMATY,ALMATY_20110914_014000_59.fit.gz,,False,1,,,nan,nan
ALMATY,ALMATY_20110914_015500_59.fit.gz,,False,0,,,nan,nan
ALMATY,ALMATY_20110914_021000_59.fit.gz,,False,0,,,nan,nan
ALMATY,ALMATY_20110914_022500_59.fit.gz,,False,0,,,nan,nan
ALMATY,ALMATY_20110914_024000_59.fit.gz,9847.5,False,2,45.0,163.94,13.215,
ALMATY,ALMATY_20110914_025500_59.fit.gz,,False,0,,,nan,nan
ALMATY,ALMATY_20110914_031000_59.fit.gz,,False,1,,,nan,nan
ALMATY,ALMATY_20110914_041000_59.fit.gz,15184.2,False,2,163.94,169.31,,
ALMATY,ALMATY_20110914_042500_59.fit.gz,16440.4,False,2,45.0,163.94,11.604,
ALMATY,ALMATY_20110914_074500_59.fit.gz,28074.1,False,2,45.0,163.94,-475.752,
ALMATY,ALMATY_20110914_080000_59.fit.gz,28872.0,False,2,64.62,66.81,1.459,
ALMATY,ALMATY_20110914_081500_59.fit.gz,,False,0,,,nan,nan
ALMATY,ALMATY_20110914_083000_59.fit.gz,,False,0,,,nan,nan
ALMATY,ALMATY_20110914_084500_59.fit.gz,32303.5,False,2,170.69,177.88,0.423,
ALMATY,ALMATY_20110914_090000_59.fit.gz,,False,0,,,nan,nan
ALMATY,ALMATY_20110914_091500_59.fit.gz,33433.0,False,4,45.0,502.44,11.762,0.05
ALMATY,ALMATY_20110914_093000_59.fit.gz,34978.2,False,2,45.0,163.94,-26.431,
ALMATY,ALMATY_20110914_094500_59.fit.gz,35297.2,False,2,45.0,45.0,0.0,
ALMATY,ALMATY_20110914_100000_59.fit.gz,,False,0,,,nan,nan
ALMATY,ALMATY_20110914_101500_59.fit.gz,,False,1,,,nan,nan
ALMATY,ALMATY_20110914_103000_59.fit.gz,38209.5,False,4,45.0,169.31,2.091,0.008
ALMATY,ALMATY_20110914_104500_59.fit.gz,,False,0,,,nan,nan
ALMATY,ALMATY_20110914_110000_59.fit.gz,,False,0,,,nan,nan
ALMATY,ALMATY_20110914_111500_59.fit.gz,,False,1,,,nan,nan
BIR,BIR_20110914_074459_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_074500_01.fit.gz,28783.8,False,7,54.44,61.94,-0.153,0.021
BIR,BIR_20110914_075959_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_080000_01.fit.gz,28810.2,False,17,50.44,60.94,0.201,0.122
BIR,BIR_20110914_081459_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_081500_01.fit.gz,30073.8,False,3,58.44,87.94,2.546,0.191
BIR,BIR_20110914_082959_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_083000_01.fit.gz,31420.5,False,2,58.44,58.94,,
BIR,BIR_20110914_084459_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_084500_01.fit.gz,31504.8,False,9,38.94,94.44,2.679,0.38
BIR,BIR_20110914_090000_01.fit.gz,33063.8,False,3,58.44,89.44,5.348,1.0
BIR,BIR_20110914_091459_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_091500_01.fit.gz,33580.5,False,2,58.44,58.94,,
BIR,BIR_20110914_092959_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_093000_01.fit.gz,34745.8,False,2,58.44,58.94,,
BIR,BIR_20110914_094459_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_094500_01.fit.gz,35886.9,False,18,10.44,58.94,0.775,0.287
BIR,BIR_20110914_095959_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_100000_01.fit.gz,36115.5,False,71,27.94,93.44,0.248,0.014
BIR,BIR_20110914_101459_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_101500_01.fit.gz,37258.8,False,7,58.94,90.94,0.467,0.103
BIR,BIR_20110914_102958_03.fit.gz,,False,1,,,nan,nan
BIR,BIR_20110914_102959_01.fit.gz,37812.8,False,8,58.94,88.44,-2.644,0.106
BIR,BIR_20110914_104458_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_104459_01.fit.gz,39145.0,False,4,10.0,58.94,-5.23,0.997
BIR,BIR_20110914_105958_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_110000_01.fit.gz,39747.0,False,36,29.94,88.94,-0.504,0.094
BIR,BIR_20110914_111458_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_111459_01.fit.gz,41363.9,False,34,32.44,97.44,-1.57,0.093
BIR,BIR_20110914_112958_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_112959_01.fit.gz,,False,1,,,nan,nan
BIR,BIR_20110914_114458_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_114459_01.fit.gz,42666.1,True,66,10.0,78.94,-2.55,0.889
BIR,BIR_20110914_115958_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_115959_01.fit.gz,43833.6,False,16,27.94,61.94,-2.945,0.215
BIR,BIR_20110914_121458_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_121459_01.fit.gz,44951.0,False,59,25.94,105.44,-1.681,0.125
BIR,BIR_20110914_122958_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_122959_01.fit.gz,45294.8,False,9,55.44,85.44,-4.332,0.616
BIR,BIR_20110914_124458_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_124459_01.fit.gz,46320.0,False,3,10.94,83.44,-4.058,0.56
BIR,BIR_20110914_125958_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_125959_01.fit.gz,46821.0,False,2,10.94,25.94,2.5,
BIR,BIR_20110914_131458_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_131459_01.fit.gz,48023.2,False,3,18.94,25.94,0.314,0.12
BIR,BIR_20110914_132958_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_132959_01.fit.gz,49070.4,False,2,18.94,25.94,28.0,
BIR,BIR_20110914_134458_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_134459_01.fit.gz,49936.8,False,15,50.44,61.94,0.537,0.011
BIR,BIR_20110914_135958_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_135959_01.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_141457_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_141459_01.fit.gz,51935.2,False,3,16.94,85.44,-6.487,0.998
BIR,BIR_20110914_142957_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_142959_01.fit.gz,52248.2,False,2,18.94,25.94,-0.667,
BIR,BIR_20110914_144457_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_144459_01.fit.gz,53335.2,False,18,50.94,93.44,-0.78,0.161
BIR,BIR_20110914_145957_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_145959_01.fit.gz,54209.0,False,12,25.94,91.44,2.202,0.229
BIR,BIR_20110914_151457_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_152957_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_152959_01.fit.gz,56094.4,False,6,33.44,83.44,-2.4,0.903
BIR,BIR_20110914_154457_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_154459_01.fit.gz,56919.4,False,8,29.94,85.44,1.848,0.023
BIR,BIR_20110914_155957_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_155959_01.fit.gz,58386.8,False,5,58.94,87.94,-0.084,0.001
BIR,BIR_20110914_161457_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_161459_01.fit.gz,59053.8,False,17,46.94,103.94,-1.914,0.193
BIR,BIR_20110914_162957_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_162959_01.fit.gz,60265.5,False,15,39.94,93.94,-1.335,0.108
BIR,BIR_20110914_164457_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_164459_01.fit.gz,61063.4,False,34,20.44,93.94,-2.784,0.097
BIR,BIR_20110914_165957_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_165959_01.fit.gz,61207.5,False,16,26.44,94.44,1.294,0.043
BIR,BIR_20110914_171457_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_171459_01.fit.gz,62486.0,False,24,31.94,92.94,2.662,0.03
BIR,BIR_20110914_172957_03.fit.gz,,False,0,,,nan,nan
BIR,BIR_20110914_172959_01.fit.gz,63426.8,False,82,10.0,103.94,-1.885,0.065
