date,n_events,coverage,n_files_listed,n_stations_listed,n_files_fetched
20110115,0,10.0,180,10,
20110215,0,11.0,354,11,
20110315,0,10.0,174,10,
20110415,0,5.0,134,5,
20110515,0,5.0,102,5,
20110615,0,10.0,212,10,
20110715,0,8.0,176,9,
20110815,0,8.0,194,8,
20110915,0,14.0,262,14,
20111015,0,14.0,312,14,
20111115,0,16.0,398,16,
20111215,0,13.0,370,14,
20120115,0,18.0,570,18,
20120215,0,13.0,484,13,
20120315,0,17.0,510,18,
20120415,0,13.0,416,14,
20120515,0,22.0,540,22,
20120615,0,16.0,628,16,
20120715,0,16.0,552,16,
20120815,0,20.0,716,20,
20120915,0,20.0,542,21,
20121015,0,20.0,788,20,
20121115,0,20.0,550,20,
20121215,0,18.0,670,19,
20130115,0,18.0,640,19,
20130215,0,20.0,726,22,
20130315,0,19.0,670,20,
20130415,0,18.0,654,19,
20130515,0,23.0,722,24,
20130615,0,24.0,664,25,
20130715,0,21.0,672,23,
20130815,0,15.0,514,17,
20130915,0,21.0,778,23,
20131015,0,26.0,712,27,
20131115,0,24.0,874,26,
20131215,0,25.0,798,27,
20140115,0,21.0,796,24,
20140215,2,22.0,734,23,
20140315,0,18.0,706,21,
20140415,3,25.0,910,28,
20140515,0,24.0,874,28,
20140615,0,,936,29,
20140715,0,26.0,962,27,
20140815,0,25.0,984,27,
20140915,0,24.0,916,25,
20141015,0,14.0,812,29,
20141115,0,,884,26,
20141215,0,,926,27,
20150115,0,,908,27,
20150215,0,,1012,28,
20150315,0,,1006,28,
20150415,0,,1150,34,
20150515,0,,1030,30,
20150615,0,,1008,31,
20150715,0,,1080,30,
20150815,0,,1070,28,
20150915,0,,1156,34,
20151015,0,,1258,34,
20151115,0,,932,30,
20151215,0,,1070,29,
20160115,0,,1148,37,
20160215,0,,1094,31,
20160315,0,,1286,31,
20160415,0,,1298,33,
20160515,0,,1046,29,
20160615,0,,1092,31,
20160715,0,,1256,33,
20160815,0,,1040,30,
20160915,0,,1196,33,
20161015,0,,1088,30,
20161115,0,,1102,30,
20161215,0,,1094,30,
20170115,0,,1022,29,
20170215,0,,1136,32,
20170315,0,,1152,35,
20170415,0,,1360,34,
20170515,0,,1320,33,
20170615,0,,1254,31,
20170715,0,,1192,33,
20170815,0,,1140,34,
20170915,0,,1216,32,
20171015,0,,1172,35,
20171115,0,,1290,32,
20171215,0,,1192,30,
20180115,0,,1256,32,
20180215,0,,1176,31,
20180315,0,,1228,32,
20180415,0,,1298,33,
20180515,0,,1354,35,
20180615,0,,1198,31,
20180715,0,,1158,32,
20180815,0,,1382,35,
20180915,0,,1206,30,
20181015,0,,1294,33,
20181115,0,,1362,33,
20181215,0,,1244,31,
20190115,0,,1252,34,
20190215,0,,1260,35,
20190315,0,,1324,37,
20190415,0,,1498,39,
20190515,0,,1568,40,
20190615,0,,1352,36,
20190715,0,,1602,44,
20190815,0,,1478,41,
20190915,0,,1430,38,
20191015,0,,1440,38,
20191115,0,,1298,33,
20191215,0,,1308,35,
20200115,0,,1434,36,
20200215,0,,1448,36,
20200315,0,,1416,37,
20200415,0,,1474,36,
20200515,0,,1368,35,
20200615,0,,1676,41,
20200715,0,,1692,43,
20200815,0,,1730,42,
20200915,0,,1740,42,
20201015,0,,1554,40,
20201115,0,,1492,37,
20201215,0,,1430,38,
20210115,0,,1310,36,
20210215,0,,1658,42,
20210315,0,,1428,36,
20210415,0,,1682,41,
20210515,0,,1568,40,
20210615,0,,1556,40,
20210715,0,,1496,40,
20210815,0,,1504,41,
20210915,0,,1590,42,
20211015,0,,1478,38,
20211115,0,,1650,42,
20211215,0,,1530,40,
20220115,0,,1450,38,
20220215,0,,1542,39,
20220315,0,,1678,43,
20220415,0,,1464,36,
20220515,0,,1492,39,
20220615,0,,1612,45,
20220715,0,,1364,36,
20220815,0,,1540,38,
20220915,0,,1414,38,
20221015,0,,1622,39,
20221115,0,,1770,46,
20221215,0,,1636,44,
20230115,0,,1564,37,
20230215,0,,1608,42,
20230315,0,,1526,40,
20230415,0,,1698,41,
20230515,0,,1692,43,
20230615,0,,1584,42,
20230715,0,,1808,46,
20230815,0,,1696,44,
20230915,0,,1700,42,
20231015,0,,1750,44,
20231115,0,,1680,42,
20231215,0,,1780,42,
20240115,0,,1724,41,
20240215,0,,1736,42,
20240315,0,,1920,45,
20240415,0,,1946,44,
20240515,0,,1994,47,
20240615,0,,2094,49,
20240715,0,,2016,49,
20240815,0,,1908,51,
20240915,0,,2008,49,
20241015,0,,2036,50,
20241115,0,,1798,44,
20241215,0,,1814,45,
