station,file,t_peak_s,is_burst,n_channels,f_lo_mhz,f_hi_mhz,drift_mhz_s,r2
STATION00,,302.1,True,186,20.0,85.43,-6.901,0.901
STATION01,,302.1,True,185,20.0,84.72,-6.922,0.901
STATION02,,302.1,True,185,20.0,85.08,-6.911,0.902
STATION03,,302.1,True,186,20.0,85.08,-6.926,0.9
STATION04,,502.1,True,186,20.0,85.43,-6.795,0.901
STATION05,,652.1,True,186,20.0,85.08,-6.92,0.901
STATION06,,802.1,True,186,20.0,85.08,-6.884,0.9
STATION07,,,False,0,,,nan,nan
STATION08,,,False,0,,,nan,nan
STATION09,,,False,0,,,nan,nan
STATION10,,,False,0,,,nan,nan
STATION11,,464.5,False,200,20.0,90.0,88.844,0.012
STATION12,,652.1,False,185,25.28,90.0,6.874,0.902
