jname,mjd,size,dnudot,refs,is_new
J0007+7303,54953.0,554.0,1.0,"Abdo+2012 [awd+12], also in Ray+2011 [rkp+11]",False
J0007+7303,55466.0,1260.0,nan,Belfore+2011 [3rd Fermi symp.],False
J0040-7335,59919.7,1.31,0.056,New. Also in Carli+24 [cab+24],True
J0040-7337,60013.13,1810.0,7.0,Carli+24 [cab+24],False
J0048-7317,59707.46,1950.0,7.0,Carli+24 [cab+24],False
4U_0142+61,51141.0,650.0,14.0,Morii+2005 [mks05],False
4U_0142+61,53809.0,1627.0,11.6,Gavriil et al. (2011) [gdk11],False
B0144+59,53682.0,0.056,-0.21,Yuan+2010 [ywml10],False
B0154+61,48512.0,4.0,-11.0,"Espinoza+2011 [elsk11], also in Krawczyk+2003 [klgj03]",False
B0154+61,57116.0,0.74,nan,New - our measurement,True
B0154+61,58283.0,2.6,nan,Basu+2021 [bsa+21],False
J0205+6449,52555.0,340.0,5.0,Livingstone+2009 [lrc+09],False
J0205+6449,52920.0,3800.0,12.0,Livingstone+2009 [lrc+09],False
J0205+6449,54907.0,1761.0,12.0,Basu+2021 [bsa+21],False
J0205+6449,55719.0,126.0,3.0,Basu+2021 [bsa+21],False
J0205+6449,55836.0,2933.0,13.0,Basu+2021 [bsa+21],False
J0205+6449,56854.0,84.0,3.0,Basu+2021 [bsa+21],False
J0205+6449,57345.0,527.0,5.0,Basu+2021 [bsa+21],False
J0205+6449,57696.75,43.0,nan,Basu+2021 [bsa+21],False
J0205+6449,58320.0,3140.0,20.0,Basu+2021 [bsa+21],False
J0215+6218,55965.0,0.06,nan,Basu+2021 [bsa+21],False
B0355+54,46082.0,6.0,6.0,"Espinoza+2011 [elsk11], also in Lyne (1987) [lyn87]",False
B0355+54,46470.0,4366.0,430.0,"Espinoza+2011 [elsk11], also in Lyne (1987) [lyn87]",False
B0402+61,53041.0,0.62,0.5,Yuan+2010 [ywml10],False
B0410+69,57120.0,0.011,nan,Basu+2021 [bsa+21],False
J0417+35,57053.63,24.54,3.4,Basu+2021 [bsa+21],False
B0458+46,52616.0,0.33,0.7,Espinoza+2011 [elsk11],False
B0523+11,56010.4,0.312,0.6,Basu+2021 [bsa+21],False
B0525+21,42051.5,1.9,13.0,"Espinoza+2011 [elsk11], also in Downs (1982) [dow82]",False
B0525+21,52296.0,2.3,7.0,"Janssen+2006 [js06], also in Yuan+2010 [ywml10]",False
B0525+21,53379.0,0.2,nan,Janssen+2006 [js06],False
B0525+21,53980.0,0.5,0.1,Yuan+2010 [ywml10],False
B0531+21,40491.8,7.2,0.44,"Espinoza+2011 [elsk11], also in Lohsen (1981) [loh81]",False
B0531+21,41161.98,1.9,0.17,"Espinoza+2011 [elsk11], also in Lohsen (1981) [loh81]",False
B0531+21,41250.32,2.1,0.11,"Espinoza+2011 [elsk11], also in Lohsen (1981) [loh81]",False
B0531+21,42447.26,35.7,1.6,"Espinoza+2011 [elsk11], also in Lohsen (1981) [loh81]",False
B0531+21,46663.69,6.0,0.5,"Espinoza+2011 [elsk11], also in Lyne+1987 [lp87]",False
B0531+21,47767.504,81.0,3.4,"Espinoza+2011 [elsk11], also in Lyne+1992 [lsp92]",False
B0531+21,48945.6,4.2,0.32,"Espinoza+2011 [elsk11], also in Lyne+1993 [lps93] Wong+2001 [wbl01]",False
B0531+21,50020.04,2.1,0.2,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]",False
B0531+21,50260.031,31.9,1.73,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]",False
B0531+21,50458.94,6.1,1.1,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]",False
B0531+21,50489.7,0.8,-0.2,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]",False
B0531+21,50812.59,6.2,0.62,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]",False
B0531+21,51452.02,6.8,0.7,"Espinoza+2011 [elsk11], also in Wong+2001 [wbl01]",False
B0531+21,51740.656,25.1,2.9,Espinoza+2011 [elsk11],False
B0531+21,51804.75,3.5,0.53,Espinoza+2011 [elsk11],False
B0531+21,52084.072,22.6,2.07,Espinoza+2011 [elsk11],False
B0531+21,52146.758,8.9,0.57,Espinoza+2011 [elsk11],False
B0531+21,52498.257,3.4,0.7,Espinoza+2011 [elsk11],False
B0531+21,52587.2,1.7,0.5,Espinoza+2011 [elsk11],False
B0531+21,53067.078,214.0,6.2,Espinoza+2011 [elsk11],False
B0531+21,53254.109,4.9,0.2,Espinoza+2011 [elsk11],False
B0531+21,53331.17,2.8,0.7,Espinoza+2011 [elsk11],False
B0531+21,53970.19,21.8,3.1,Espinoza+2011 [elsk11],False
B0531+21,54580.38,4.7,0.2,Espinoza+2011 [elsk11],False
B0531+21,55875.49,39.0,0.23,Basu+2021 [bsa+21],False
