name,epoch,obs_id,band,epoch_mjd,i_mjy,e_i,v_mjy,e_v,offset_arcsec,note
GCRT J1745-3009,mid,ASKAP-20442,mid,59211.2,-0.1453,0.5692,-0.1014,0.4571,0.91,
GCRT J1745-3009,mid,ASKAP-20443,mid,59211.2,nan,nan,nan,nan,nan,
GCRT J1745-3009,mid,ASKAP-21301,mid,59228.1,-0.5299,0.3874,-0.4817,0.2557,1.36,
GCRT J1745-3009,mid,ASKAP-22634,mid,59253.1,-0.0507,0.4348,-0.6016,0.3753,0.91,
GCRT J1745-3009,mid,ASKAP-35702,mid,59590.1,0.2577,0.5919,-0.2780,0.5714,0.63,
GCRT J1745-3009,mid,ASKAP-36292,mid,59601.1,-0.3821,0.3185,0.2184,0.2709,0.56,
GCRT J1745-3009,mid,ASKAP-36711,mid,59609.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-39147,low,59677.9,-1.3435,0.9679,-0.4100,0.3094,0.56,
GCRT J1745-3009,low,ASKAP-40872,low,59721.7,-0.3054,0.8279,-0.0242,0.3672,0.56,
GCRT J1745-3009,low,ASKAP-56226,low,60307.2,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-56227,low,60307.2,0.0266,0.7705,0.0971,0.3634,1.06,
GCRT J1745-3009,low,ASKAP-56228,low,60307.2,-1.2789,1.0247,0.3620,0.7872,0.97,
GCRT J1745-3009,low,ASKAP-56961,low,60317.1,-0.6340,0.7327,0.3193,0.3924,1.12,
GCRT J1745-3009,low,ASKAP-58007,low,60336.1,-0.8687,0.8861,0.0646,0.3670,1.06,
GCRT J1745-3009,low,ASKAP-58082,low,60337.1,-0.4947,0.6799,-0.9155,0.3351,1.09,
GCRT J1745-3009,mid,ASKAP-67305,mid,60613.3,nan,nan,nan,nan,nan,
GCRT J1745-3009,mid,ASKAP-67351,mid,60614.3,-0.2953,0.4685,0.1635,0.3120,1.35,
GCRT J1745-3009,mid,ASKAP-68314,mid,60635.3,-0.9308,0.4980,-0.7170,0.4498,0.94,
GLEAM-X J162759.5-523504.3,mid,ASKAP-20438,mid,59211.1,-0.0798,0.3296,-0.1008,0.1695,0.61,
GLEAM-X J162759.5-523504.3,mid,ASKAP-22353,mid,59247.0,-1.3091,1.1484,-0.5619,1.0825,0.42,
