name,epoch,obs_id,band,epoch_mjd,duration_s,i_mjy,e_i,v_mjy,e_v,offset_arcsec,note
GCRT J1745-3009,low,ASKAP-45544,low,59897.32039,736.0,0.8140,0.7829,-0.7484,0.5480,0.56,
GCRT J1745-3009,low,ASKAP-45673,low,59902.21147,716.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-45680,low,59902.27909,726.0,-0.6341,1.2737,0.0682,0.4232,0.55,
GCRT J1745-3009,low,ASKAP-46051,low,59921.12215,716.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-46054,low,59921.15049,726.0,-0.2523,1.0685,-0.2273,0.3724,0.56,
GCRT J1745-3009,low,ASKAP-46804,low,59934.12958,726.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-47026,low,59949.06301,716.0,nan,nan,nan,nan,nan,unreleased: obscore obs_release_date is NULL (never publicly released; verified 2026-08-15)
GCRT J1745-3009,low,ASKAP-47068,low,59950.15125,726.0,-1.3246,1.1407,-0.0088,0.2668,0.55,
GCRT J1745-3009,low,ASKAP-47069,low,59950.16036,716.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-47257,low,59965.07344,736.0,-1.6711,0.8101,0.1469,0.4571,0.55,
GCRT J1745-3009,low,ASKAP-47258,low,59965.08346,726.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-47626,low,59979.06110,726.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-47629,low,59979.09128,726.0,-0.6863,0.8343,0.4453,0.6068,0.56,
GCRT J1745-3009,low,ASKAP-47691,low,59980.06142,726.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-47694,low,59980.09160,726.0,-0.6687,0.7840,-0.8080,0.6448,0.56,
GCRT J1745-3009,low,ASKAP-48343,low,59994.92173,736.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-48345,low,59994.94281,736.0,2.2489,1.1894,-0.0880,0.4956,0.56,
GCRT J1745-3009,low,ASKAP-48462,low,59998.02734,716.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-48465,low,59998.05672,736.0,2.7297,0.8756,0.3596,0.4303,0.55,
GCRT J1745-3009,low,ASKAP-48851,low,60009.89621,726.0,nan,nan,nan,nan,nan,
GCRT J1745-3009,low,ASKAP-48853,low,60009.91499,716.0,-0.3213,1.1725,-0.7106,0.4496,0.55,
