icrf_name,ra_deg,dec_deg,dra_mas,ddec_mas,offset_mas,pa_deg,sig_a_mas,sig_d_mas,rho_icrf3,rho_gaia,x_mahalanobis,x_naive,jet_pa_deg,delpa_deg,axis_angle_deg,downstream_angle_deg
ICRF J000020.3-322101,0.08499990,-32.35034271,-6.3215,-0.4626,6.3384,265.82,0.1348,0.2809,-0.060,0.172,46.944,46.940,,,,
ICRF J000027.0+030715,0.11259381,3.12101288,-0.0845,0.4854,0.4927,350.13,0.9070,0.3639,-0.012,0.257,1.338,1.337,,,,
ICRF J000105.3-155107,0.27220306,-15.85196534,0.3051,-0.6224,0.6931,153.89,0.1937,0.2616,-0.211,-0.094,2.695,2.854,,,,
ICRF J000107.0+605122,0.27958256,60.85633280,-0.7613,-2.0954,2.2294,199.97,3.2921,2.5432,0.162,0.060,0.844,0.856,,,,
ICRF J000211.9-215309,0.54992261,-21.88607376,-1.4537,0.4995,1.5371,288.96,0.4242,0.5338,-0.343,-0.055,3.451,3.552,,,,
ICRF J000315.9-194150,0.81645585,-19.69733383,-1.0514,1.6669,1.9708,327.76,0.2752,0.3479,-0.196,-0.062,5.828,6.128,,,,
ICRF J000318.6-192722,0.82781262,-19.45620993,-0.8395,-0.1202,0.8481,261.85,0.3105,0.4776,-0.043,0.128,2.711,2.715,,,,
ICRF J000319.3+212944,0.83062502,21.49569675,5.6247,-2.4618,6.1398,113.64,2.1607,1.4554,-0.111,0.131,3.311,3.105,,,,
ICRF J000404.9-114858,1.02047917,-11.81621839,0.8125,0.0544,0.8144,86.17,0.2805,0.2298,-0.097,-0.091,2.936,2.906,,,,
ICRF J000416.1+461517,1.06719853,46.25499185,-0.3280,-0.3149,0.4547,226.16,0.5358,0.4929,0.015,-0.060,0.910,0.885,,,,
ICRF J000435.6-473619,1.14856452,-47.60544556,-0.0492,0.2057,0.2115,346.55,0.1925,0.2741,0.231,-0.152,0.772,0.793,,,,
ICRF J000435.7+201942,1.14899286,20.32842159,0.0646,-1.0799,1.0818,176.58,0.9785,0.9065,-0.081,0.332,1.284,1.193,,,,
ICRF J000504.3+542824,1.26818061,54.47359014,0.4155,0.1510,0.4421,70.03,0.1318,0.1474,-0.092,-0.179,3.473,3.316,,,,
ICRF J000517.9-164804,1.32472412,-16.80129960,-0.1860,0.6080,0.6358,342.99,0.1603,0.3179,-0.213,0.155,2.111,2.237,,,,
ICRF J000520.2+052410,1.33423129,5.40300100,0.0095,-0.7779,0.7779,179.30,0.1700,0.3165,-0.059,0.703,2.458,2.458,,,,
ICRF J000557.1+382015,1.48823078,38.33754138,5.8160,-4.9244,7.6207,130.26,0.1464,0.1411,-0.137,0.144,56.079,52.885,115.0,17.0,15.26,15.26
ICRF J000559.2+160949,1.49682407,16.16361711,-0.0308,0.0918,0.0969,341.45,0.1239,0.2069,-0.183,0.443,0.480,0.509,,,,
ICRF J000601.1-295550,1.50468062,-29.93058255,-0.3692,-0.7568,0.8420,206.01,0.3831,0.5998,0.391,-0.192,1.485,1.588,,,,
ICRF J000607.3+342220,1.53076068,34.37233495,-0.0974,0.0645,0.1168,303.54,0.1688,0.2534,0.030,0.063,0.640,0.631,,,,
ICRF J000613.8-062335,1.55788702,-6.39314871,-0.0060,0.1514,0.1515,357.72,0.0889,0.0774,-0.023,0.262,2.023,1.958,15.0,12.0,17.28,17.28
ICRF J000623.0+123553,1.59606708,12.59808280,-0.1941,-0.5190,0.5541,200.50,0.1176,0.1992,-0.080,0.296,3.148,3.084,,,,
ICRF J000648.7+242236,1.70328919,24.37677562,-0.2607,-0.2054,0.3319,231.76,0.1751,0.2043,-0.069,0.626,1.572,1.797,,,,
ICRF J000748.4+570610,1.95195260,57.10289976,-3.0311,-2.2198,3.7570,233.78,1.8910,1.3581,-0.149,-0.148,2.480,2.289,,,,
ICRF J000800.3-233918,2.00154006,-23.65504172,1.5460,-2.5430,2.9761,148.70,0.1276,0.2439,-0.309,-0.044,14.163,15.981,,,,
ICRF J000903.9+062821,2.26638268,6.47256673,2.2575,1.5958,2.7646,54.74,0.1852,0.2233,0.074,0.493,12.962,14.131,63.0,4.0,8.26,8.26
ICRF J000904.1+400146,2.26738998,40.02964041,-0.1813,0.3347,0.3806,331.56,0.2662,0.2573,-0.022,0.078,1.497,1.468,,,,
ICRF J000935.5-321636,2.39815731,-32.27692483,0.4478,-2.2382,2.2825,168.69,0.3520,0.4708,-0.586,-0.103,4.762,4.921,,,,
ICRF J000943.0+772442,2.42954997,77.41166790,0.4743,0.2314,0.5277,63.99,0.3829,0.4111,0.047,-0.060,1.364,1.361,,,,
ICRF J000948.2+760318,2.45097576,76.05504567,0.4057,0.1485,0.4320,69.89,0.5514,0.4034,0.486,-0.049,0.736,0.823,,,,
ICRF J000958.6+015755,2.49440678,1.96531926,0.4353,0.1204,0.4516,74.54,1.4681,1.8327,-0.008,0.595,0.302,0.304,,,,
ICRF J001000.3-043348,2.50161948,-4.56347405,-0.5112,0.1648,0.5371,287.87,0.3407,0.3573,0.197,0.210,1.679,1.570,,,,
ICRF J001028.7+204749,2.61976268,20.79716345,0.8150,-0.0751,0.8184,95.26,0.3103,0.3404,-0.189,0.377,2.718,2.636,,,,
