repeater,mjd
FRB20121102A,58441.401872
FRB20180814A,58344.617940
FRB20180814A,58372.541163
FRB20180814A,58378.032386
FRB20180814A,58380.525137
FRB20180814A,58419.425399
FRB20180814A,58440.364464
FRB20180814A,58442.351021
FRB20180814A,58620.856678
FRB20180814A,58645.786601
FRB20180814A,58659.738736
FRB20180814A,58660.776306
FRB20180908B,58369.884075
FRB20180908B,58655.098194
FRB20180916B,58377.427313
FRB20180916B,58410.342624
FRB20180916B,58426.289798
FRB20180916B,58426.296548
FRB20180916B,58442.247294
FRB20180916B,58474.166242
FRB20180916B,58475.160752
FRB20180916B,58477.161851
FRB20180916B,58478.155210
FRB20180916B,58509.064413
FRB20180916B,58621.759522
FRB20180916B,58621.764653
FRB20180916B,58622.743352
FRB20180916B,58622.756267
FRB20180916B,58622.757525
FRB20180916B,58637.714854
FRB20180916B,58638.716433
FRB20180916B,58639.705613
FRB20180916B,58639.710079
FRB20181017A,58408.976526
FRB20181017A,58530.643730
FRB20181030A,58421.175845
FRB20181030A,58421.178028
FRB20181119A,58441.700731
FRB20181119A,58486.574576
FRB20181119A,58555.390125
FRB20181128A,58450.352565
FRB20181128A,58471.294927
FRB20181128A,58630.860900
FRB20190116B,58499.546921
FRB20190116B,58499.547459
FRB20190117A,58500.929538
FRB20190117A,58664.482459
FRB20190208A,58522.737392
FRB20190208A,58579.600000
FRB20190209A,58523.347466
FRB20190209A,58524.345300
FRB20190212A,58526.678744
FRB20190212A,58527.714962
FRB20190213A,58527.029476
FRB20190213A,58618.773465
FRB20190222A,58536.781961
FRB20190222A,58543.752112
FRB20190303A,58545.462001
FRB20190303A,58594.333453
FRB20190417A,58590.580611
FRB20190604A,58638.243024
FRB20190604A,58640.232309
