psrj,p0_s,p1,b_gauss,tau_yr,edot_erg_s,cls,above_death
J0006+1834,0.6937476705,2.097e-15,1.221e+12,5.242e+06,2.479e+32,normal,1
J0007+7303,0.3158731909,3.6039e-13,1.08e+13,1.389e+04,4.514e+35,magnetar,1
J0014+4746,1.240699039,5.6446e-16,8.468e+11,3.483e+07,1.167e+31,normal,1
J0024-7204E,0.003536329153,9.8509e-20,5.973e+08,5.688e+08,8.794e+34,msp,1
J0024-7204F,0.002623579353,6.45e-20,4.163e+08,6.445e+08,1.41e+35,msp,1
J0024-7204O,0.002643343297,3.0353e-20,2.866e+08,1.38e+09,6.488e+34,msp,1
J0024-7204Q,0.004033181185,3.4013e-20,3.748e+08,1.879e+09,2.047e+34,msp,1
J0024-7204T,0.007588479807,2.9374e-19,1.511e+09,4.093e+08,2.654e+34,msp,1
J0024-7204U,0.004342826696,9.5229e-20,6.508e+08,7.226e+08,4.59e+34,msp,1
J0026+6320,0.3183577312,1.5006e-16,2.212e+11,3.361e+07,1.836e+32,normal,1
J0030+0451,0.004865453207,1.01736e-20,2.251e+08,7.577e+09,3.487e+33,msp,1
J0034-0534,0.001877181885,4.966e-21,9.77e+07,5.989e+09,2.964e+34,msp,1
J0034-0721,0.9429509946,4.0821e-16,6.278e+11,3.66e+07,1.922e+31,normal,1
J0040+5716,1.118225345,2.87897e-15,1.816e+12,6.154e+06,8.128e+31,normal,1
J0045-7042,0.6323358,2.49e-15,1.27e+12,4.024e+06,3.888e+32,normal,1
J0045-7319,0.926275905,4.4632e-15,2.058e+12,3.288e+06,2.217e+32,normal,1
J0048+3412,1.217094296,2.35454e-15,1.713e+12,8.19e+06,5.156e+31,normal,1
J0051+0423,0.3547317989,7e-18,5.043e+10,8.029e+08,6.191e+30,normal,1
J0055+5117,2.115171149,9.53764e-15,4.545e+12,3.514e+06,3.979e+31,normal,1
J0056+4756,0.4720366621,3.32849e-15,1.268e+12,2.247e+06,1.249e+33,normal,1
J0057-7201,0.7380624426,1e-16,2.749e+11,1.169e+08,9.819e+30,normal,1
J0100-7211,8.020392,1.88e-11,3.929e+14,6759,1.439e+33,magnetar,1
J0101-6422,0.002573151972,5.16e-21,1.166e+08,7.901e+09,1.196e+34,msp,1
J0102+6537,1.679164229,5.95492e-15,3.2e+12,4.468e+06,4.965e+31,normal,1
J0106+4855,0.08315730501,4.2792e-16,1.909e+11,3.079e+06,2.938e+34,normal,1
J0108-1431,0.807564614,7.704e-17,2.524e+11,1.661e+08,5.775e+30,normal,1
J0108+6608,1.283659843,1.3051e-14,4.142e+12,1.558e+06,2.436e+32,normal,1
J0108+6905,1.07111811,4.809e-17,2.297e+11,3.529e+08,1.545e+30,normal,1
J0111-7131,0.6885415116,7.092e-15,2.236e+12,1.538e+06,8.577e+32,normal,1
J0113-7220,0.3258830161,4.859e-15,1.273e+12,1.063e+06,5.543e+33,normal,1
J0117+5914,0.1014390665,5.84996e-15,7.795e+11,2.747e+05,2.213e+35,normal,1
J0131-7310,0.3481240456,1.7614e-15,7.924e+11,3.131e+06,1.648e+33,normal,1
J0133-6957,0.4634737417,1.2e-16,2.386e+11,6.12e+07,4.758e+31,normal,1
J0134-2937,0.1369615841,7.83718e-17,1.048e+11,2.769e+07,1.204e+33,normal,1
J0137+1654,0.4147630265,1.223e-17,7.207e+10,5.373e+08,6.767e+30,normal,1
J0139+5621,1.775343826,7.9096e-14,1.199e+13,3.556e+05,5.58e+32,magnetar,1
J0139+5814,0.2724506309,1.07117e-14,1.729e+12,4.03e+05,2.091e+34,normal,1
J0141+6009,1.222948521,3.9107e-16,6.998e+11,4.955e+07,8.441e+30,normal,1
J0146+6145,8.6889941,1.99e-12,1.331e+14,6.918e+04,1.198e+32,magnetar,1
J0147+5922,0.1963213754,2.56763e-16,2.272e+11,1.211e+07,1.34e+33,normal,1
J0151-0635,1.464664549,4.4259e-16,8.147e+11,5.243e+07,5.561e+30,normal,1
J0152+0948,2.74664729,1.7e-15,2.187e+12,2.56e+07,3.239e+30,normal,1
J0152-1637,0.8327416127,1.2992e-15,1.053e+12,1.016e+07,8.882e+31,normal,1
J0156+3949,1.811560611,1.516e-16,5.303e+11,1.893e+08,1.007e+30,normal,0
J0157+6212,2.351744936,1.88925e-13,2.133e+13,1.972e+05,5.734e+32,magnetar,1
J0201+7005,1.349184472,5.5144e-15,2.76e+12,3.877e+06,8.864e+31,normal,1
J0205+6449,0.06571592849,1.93754e-13,3.611e+12,5374,2.695e+37,normal,1
J0206-4028,0.6305501408,1.1994e-15,8.8e+11,8.33e+06,1.889e+32,normal,1
J0211-8159,1.077332701,2.9e-16,5.656e+11,5.886e+07,9.156e+30,normal,1
J0212+5222,0.376386292,6.6e-15,1.595e+12,9.036e+05,4.887e+33,normal,1
J0214+5222,0.02457529479,2.99e-19,2.743e+09,1.302e+09,7.953e+32,msp,1
J0215+6218,0.5488798192,6.6212e-16,6.1e+11,1.313e+07,1.581e+32,normal,1
J0218+4232,0.002323090468,7.7389e-20,4.291e+08,4.756e+08,2.437e+35,msp,1
J0231+7026,1.466820306,3.10998e-15,2.161e+12,7.473e+06,3.89e+31,normal,1
J0248+6021,0.217094,5.509e-14,3.5e+12,6.244e+04,2.126e+35,normal,1
J0255-5304,0.4477084441,3.06e-17,1.184e+11,2.318e+08,1.346e+31,normal,1
J0304+1932,1.387584446,1.29524e-15,1.357e+12,1.697e+07,1.914e+31,normal,1
J0323+3944,3.032071956,6.3562e-16,1.405e+12,7.558e+07,9.002e+29,normal,0
J0324+5239,0.3366202303,3.81e-16,3.624e+11,1.4e+07,3.943e+32,normal,1
J0329+1654,0.8933196606,2.1525e-16,4.437e+11,6.576e+07,1.192e+31,normal,1
J0332+5434,0.7145196997,2.04827e-15,1.224e+12,5.527e+06,2.217e+32,normal,1
J0335+4555,0.2692005409,7.3505e-18,4.501e+10,5.803e+08,1.487e+31,normal,1
J0337+1715,0.002732588632,1.7666e-20,2.223e+08,2.451e+09,3.418e+34,msp,1
J0343-3000,2.597027157,5.7e-17,3.893e+11,7.219e+08,1.285e+29,normal,0
J0343+5312,1.934478067,1.34224e-14,5.156e+12,2.284e+06,7.32e+31,normal,1
J0348+0432,0.0391226569,2.4075e-19,3.106e+09,2.575e+09,1.587e+32,normal,1
J0357+3205,0.4441044988,1.3037e-14,2.435e+12,5.397e+05,5.876e+33,normal,1
J0357+5236,0.197030098,4.76594e-16,3.101e+11,6.55e+06,2.46e+33,normal,1
J0358+5413,0.1563824178,4.39686e-15,8.391e+11,5.635e+05,4.539e+34,normal,1
J0401-7608,0.5452527424,1.5382e-15,9.267e+11,5.616e+06,3.746e+32,normal,1
J0406+6138,0.594576165,5.57316e-15,1.842e+12,1.69e+06,1.047e+33,normal,1
J0407+1607,0.02570173919,7.9e-20,1.442e+09,5.155e+09,1.837e+32,msp,1
J0415+6954,0.3907150899,7.6601e-17,1.751e+11,8.082e+07,5.07e+31,normal,1
J0418-4154,0.7571188713,9.7e-16,8.672e+11,1.237e+07,8.823e+31,normal,1
J0418+5732,9.07838822,4.1e-15,6.174e+12,3.508e+07,2.163e+29,normal,0
J0420-5022,3.453004027,2.759e-14,9.877e+12,1.983e+06,2.646e+31,normal,1
J0421-0345,2.161308495,1.16338e-15,1.605e+12,2.944e+07,4.549e+30,normal,1
J0426+4933,0.9224747301,3.93444e-14,6.096e+12,3.715e+05,1.979e+33,normal,1
J0437-4715,0.005757451937,5.72922e-20,5.812e+08,1.592e+09,1.185e+34,msp,1
J0448-2749,0.4504483309,1.48347e-16,2.616e+11,4.811e+07,6.408e+31,normal,1
J0449-7031,0.4791639713,3.371e-15,1.286e+12,2.252e+06,1.21e+33,normal,1
J0450-1248,0.4380141494,1.02649e-16,2.146e+11,6.761e+07,4.822e+31,normal,1
J0452-1759,0.5489392233,5.75311e-15,1.798e+12,1.512e+06,1.373e+33,normal,1
J0453+1559,0.04578181687,1.8612e-18,9.341e+09,3.897e+08,7.657e+32,normal,1
J0454+5543,0.3407294362,2.37227e-15,9.098e+11,2.276e+06,2.368e+33,normal,1
J0455-6951,0.3204227115,1.02119e-14,1.83e+12,4.972e+05,1.225e+34,normal,1
J0456-7031,0.8001320732,3.67e-14,5.484e+12,3.454e+05,2.828e+33,normal,1
J0457-6337,2.497011696,2.1e-16,7.328e+11,1.884e+08,5.325e+29,normal,0
J0458-0505,1.883479658,5.3e-16,1.011e+12,5.631e+07,3.132e+30,normal,1
J0459-0210,1.133076124,1.39825e-15,1.274e+12,1.284e+07,3.795e+31,normal,1
J0501+4516,5.76209653,5.82e-12,1.853e+14,1.569e+04,1.201e+33,magnetar,1
J0502+4654,0.6385654815,5.58234e-15,1.911e+12,1.812e+06,8.464e+32,normal,1
J0502-6617,0.6912514182,2.309e-14,4.043e+12,4.743e+05,2.76e+33,normal,1
J0511-6508,0.3220618275,2.06e-16,2.606e+11,2.477e+07,2.434e+32,normal,1
J0514-4002A,0.004990575114,1.17e-21,7.732e+07,6.758e+10,3.716e+32,msp,1
J0519-6932,0.2632116346,6.968e-16,4.334e+11,5.985e+06,1.509e+33,normal,1
J0520-2553,0.2416421757,3.0092e-17,8.629e+10,1.272e+08,8.42e+31,normal,1
J0522-6847,0.6745319091,1.7727e-14,3.499e+12,6.029e+05,2.28e+33,normal,1
J0525+1115,0.3544375945,7.36052e-17,1.634e+11,7.63e+07,6.526e+31,normal,1
J0525-6607,8.047,6.5e-11,7.319e+14,1962,4.925e+33,magnetar,1
J0528+2200,3.74553925,4.0053e-14,1.239e+13,1.482e+06,3.009e+31,magnetar,1
J0529-6652,0.9757249664,1.5509e-14,3.936e+12,9.968e+05,6.591e+32,normal,1
J0532-6639,0.6427427509,5.354e-15,1.877e+12,1.902e+06,7.96e+32,normal,1
J0533+0402,0.963017702,1.6e-16,3.972e+11,9.537e+07,7.073e+30,normal,1
J0534+2200,0.0333924123,4.20972e-13,3.794e+12,1257,4.463e+38,normal,1
J0534-6703,1.817565031,4.2505e-13,2.813e+13,6.775e+04,2.795e+33,magnetar,1
J0535-6935,0.20051133,1.15e-14,1.537e+12,2.763e+05,5.632e+34,normal,1
J0536-7543,1.245855596,5.65e-16,8.49e+11,3.494e+07,1.153e+31,normal,1
J0537-6910,0.01612222202,5.17843e-14,9.246e+11,4933,4.878e+38,msp,1
J0538+2817,0.1431582589,3.66945e-15,7.334e+11,6.181e+05,4.938e+34,normal,1
J0540+3207,0.5242708632,4.4811e-16,4.905e+11,1.854e+07,1.228e+32,normal,1
J0540-6919,0.05049881765,4.78925e-13,4.977e+12,1671,1.468e+38,normal,1
J0540-7125,1.286014595,8.2e-16,1.039e+12,2.485e+07,1.522e+31,normal,1
