psrj,p0_s,s400_mjy,s1400_mjy,alpha,is_msp
J0014+4746,1.240699039,14,3,-1.2296,0
J0024-7204C,0.005756779996,1.53,0.6,-0.7472,1
J0030+0451,0.004865453207,7.9,0.6,-2.0576,1
J0034-0534,0.001877181885,17,0.61,-2.6561,1
J0034-0721,0.9429509946,52,11,-1.2399,0
J0040+5716,1.118225345,5,0.6,-1.6925,0
J0045-7319,0.926275905,1,0.3,-0.9611,0
J0055+5117,2.115171149,3.4,1.5,-0.6532,0
J0102+6537,1.679164229,29.7,1.2,-2.5614,0
J0108+6608,1.283659843,10,0.9,-1.9221,0
J0108+6905,1.07111811,30.5,0.4,-3.4596,0
J0117+5914,0.1014390665,43.4,0.3,-3.9708,0
J0134-2937,0.1369615841,9,2.4,-1.0551,0
J0139+5621,1.775343826,0.7,0.02,-2.8380,0
J0139+5814,0.2724506309,52.7,4.6,-1.9465,0
J0141+6009,1.222948521,64.9,4.5,-2.1303,0
J0147+5922,0.1963213754,6.6,2.1,-0.9141,0
J0151-0635,1.464664549,38,1.3,-2.6942,0
J0152-1637,0.8327416127,20,1.5,-2.0676,0
J0157+6212,2.351744936,7.3,1.9,-1.0744,0
J0206-4028,0.6305501408,11,1,-1.9141,0
J0212+5222,0.376386292,4.1,0.9,-1.2104,0
J0215+6218,0.5488798192,14.5,3.7,-1.0902,0
J0218+4232,0.002323090468,57.7,0.9,-3.3212,1
J0231+7026,1.466820306,40,0.3,-3.9056,0
J0255-5304,0.4477084441,17,3,-1.3846,0
J0304+1932,1.387584446,27,3,-1.7539,0
J0323+3944,3.032071956,10.8,0.9,-1.9835,0
J0332+5434,0.7145196997,1500,203,-1.5965,0
J0335+4555,0.2692005409,6,0.8,-1.6084,0
J0343+5312,1.934478067,3.7,0.3,-2.0054,0
J0357+5236,0.197030098,21.6,1.9,-1.9404,0
J0358+5413,0.1563824178,46.8,23,-0.5671,0
J0401-7608,0.5452527424,19,14,-0.2438,0
J0406+6138,0.594576165,15,2.8,-1.3398,0
J0415+6954,0.3907150899,6.7,0.5,-2.0716,0
J0421-0345,2.161308495,6,0.5,-1.9835,0
J0437-4715,0.005757451937,550,149,-1.0425,1
J0448-2749,0.4504483309,2,0.7,-0.8380,0
J0450-1248,0.4380141494,11,0.9,-1.9982,0
J0452-1759,0.5489392233,82,5.3,-2.1864,0
J0454+5543,0.3407294362,49.9,13,-1.0737,0
J0459-0210,1.133076124,11,0.5,-2.4674,0
J0502+4654,0.6385654815,10.9,2.5,-1.1754,0
J0509+08,0.0041,5,0.8,-1.4628,1
J0520-2553,0.2416421757,8,0.2,-2.9446,0
J0525+1115,0.3544375945,19.5,1.6,-1.9959,0
J0528+2200,3.74553925,57,9,-1.4734,0
J0534+2200,0.0333924123,550,14,-2.9302,0
J0536-7543,1.245855596,75,13,-1.3989,0
J0538+2817,0.1431582589,8.2,1.9,-1.1672,0
J0543+2329,0.2459747689,29,9,-0.9340,0
J0601-0527,0.3959691695,22.7,2.5,-1.7610,0
J0612+3721,0.2979823266,8.8,4,-0.6294,0
J0613-0200,0.003061844088,21,2.3,-1.7654,1
J0613+3731,0.6191981811,1.6,0.13,-2.0038,0
J0614+2229,0.3349599661,29,2.2,-2.0585,0
J0624-0424,1.039076476,4.9,2,-0.7153,0
J0627+0706,0.475877009,6,2.89,-0.5831,0
J0629+2415,0.476622836,31,3.2,-1.8127,0
J0630-2834,1.244418596,206,23,-1.7500,0
J0631+1036,0.287800022,1.5,0.941,-0.3722,0
J0653+8051,1.214440512,6.1,0.4,-2.1749,0
J0659+1414,0.3848911951,6.5,3.7,-0.4498,0
J0700+6418,0.1956709452,10.1,0.3,-2.8070,0
J0711+0931,1.214090492,2.4,0.04,-3.2683,0
J0711-6830,0.005490968506,10,3.2,-0.9095,1
J0725-1635,0.4243114032,4,0.33,-1.9916,0
J0729-1836,0.5101603448,11.2,1.4,-1.6599,0
J0738-4042,0.374919985,190,80,-0.6905,0
J0742-2822,0.1667622916,296,15,-2.3806,0
J0749-4247,1.095452158,8,0.6,-2.0676,0
J0751+1807,0.003478770783,10,3.2,-0.9095,1
J0754+3231,1.442349479,8,0.6,-2.0676,0
J0758-1528,0.6822651758,8.2,2,-1.1263,0
J0809-4753,0.5471992355,46,3,-2.1792,0
J0814+7429,1.292241447,41.1,10,-1.1282,0
J0820-1350,1.238129544,102,7,-2.1385,0
J0820-4114,0.5454455361,65,5.2,-2.0161,0
J0823+0159,0.8648728047,30,1.5,-2.3913,0
J0826+2637,0.5306605117,73,10,-1.5868,0
J0828-3417,1.848918804,16,0.25,-3.3198,0
J0835-4510,0.08932838502,5000,1100,-1.2086,0
J0837+0610,1.273768292,89,4,-2.4764,0
J0837-4135,0.7516236176,197,16,-2.0041,0
J0840-5332,0.7206123611,19,2,-1.7971,0
J0842-4851,0.6443540558,6.2,0.62,-1.8380,0
J0846-3533,1.116097163,16,2.7,-1.4203,0
J0855-3331,1.267535703,7.7,0.6,-2.0371,0
