# e-Callisto BIR 20110914 1150; pad_s=10; snr_threshold=5; used=1 marks channels surviving the converged clip
freq_mhz,time_s,used
78.938,367.0,0
62.438,365.0,1
61.938,365.0,1
60.938,365.25,1
60.438,365.25,1
59.438,365.75,1
58.938,365.5,1
58.438,365.5,1
57.938,365.75,1
57.438,365.5,1
56.938,365.25,1
56.438,365.25,1
55.938,365.75,1
55.438,365.75,1
54.938,365.5,1
54.438,365.5,1
53.938,365.5,1
53.438,365.75,1
52.938,365.75,1
52.438,365.75,1
51.938,365.75,1
51.438,365.5,1
50.938,365.5,1
49.938,366.25,1
49.438,366.25,1
48.938,366.25,1
48.438,366.75,1
47.938,366.5,1
47.438,367.25,1
46.938,366.5,1
46.438,366.75,1
45.938,367.75,1
45.438,369.25,1
44.938,367.5,1
44.438,367.5,1
43.938,368.5,1
43.438,368.25,1
42.938,368.75,1
42.438,369.0,1
41.938,368.75,1
41.438,370.0,1
40.938,371.0,1
40.438,371.0,1
39.938,371.0,1
39.438,371.5,1
38.938,370.75,1
38.438,371.0,1
37.938,371.75,1
37.438,370.75,1
36.938,371.5,1
36.438,372.5,1
35.938,371.75,1
35.438,372.5,1
34.938,373.0,1
34.438,372.75,1
33.938,363.25,0
33.438,363.25,0
32.438,374.0,1
30.438,372.5,0
29.938,372.25,0
29.438,372.25,0
28.938,372.75,0
26.438,372.5,0
25.938,364.0,0
25.438,372.5,0
10.0,368.5,0
