# GLEAM-X DR2 x RACS @ (30.0,-30.0) r=3.0deg
ra,dec,cls,nu_pk_mhz,alpha_lo,alpha_lo_err,alpha_hi,chi2_red,n_fit_points
30.12866,-32.08327,steep,31.1,-0.923,0.212,-1.869,1.51,17
33.07267,-31.27239,steep,,-1.182,0.010,-1.373,3.70,22
31.45809,-30.97037,steep,,-0.913,0.017,-1.058,1.67,22
32.10080,-30.06037,steep,3957.4,-0.938,0.103,-0.624,1.54,22
31.17823,-30.47450,steep,,-0.740,0.062,-1.519,1.60,22
31.80949,-31.77878,steep,30.5,-0.945,0.337,-1.238,0.98,14
32.79736,-30.95358,steep,185.3,-0.961,0.320,-2.772,6.31,13
31.59521,-32.02547,steep,50298.6,-0.943,0.078,-1.019,1.23,22
30.50075,-27.53075,steep,0.0,-0.738,0.061,-1.322,1.17,22
28.21240,-29.36058,uss,6349.6,-1.466,0.053,-1.321,1.93,22
32.16635,-31.58411,steep,262750.2,-0.728,0.040,-0.968,2.19,22
30.35023,-32.03910,nan,3454.5,-1.308,0.133,,1.28,20
29.99038,-30.07698,steep,8570.0,-0.906,0.114,-0.823,1.13,21
32.18706,-29.28050,nan,,,,-0.763,,3
32.45291,-30.73844,steep,95.6,-0.593,0.129,-3.022,4.57,21
31.31615,-29.36754,steep,145086.5,-0.850,0.112,-0.760,0.63,22
27.23915,-28.55446,steep,287615961.3,-1.104,0.059,-2.076,3.32,22
32.77228,-28.46091,nan,802.3,-0.936,0.249,,0.42,15
31.81017,-31.17990,steep,7497.9,-0.974,0.104,-1.095,2.46,22
29.44622,-28.10899,flat,3196.9,-0.310,0.554,-0.299,1.40,9
31.27743,-32.41993,nan,0.0,-0.846,0.007,,3.78,21
32.42945,-28.89990,flat,49.3,-0.496,0.108,-1.813,2.13,22
32.96909,-30.46508,steep,0.0,-0.879,0.103,-1.840,2.58,22
33.44874,-30.09100,steep,51645.0,-0.959,0.141,-0.731,0.92,22
32.93029,-29.80481,steep,291.6,-0.823,0.566,-1.218,0.95,12
31.97476,-30.54264,nan,3386.2,-1.295,0.110,,1.46,20
28.65379,-32.37370,steep,5.6,-0.805,0.133,-1.391,1.69,21
29.60232,-32.21563,nan,0.9,-0.655,0.431,,0.50,11
29.54707,-32.01153,steep,193.7,-0.745,0.283,-2.497,1.87,18
29.62052,-30.25617,steep,292709.7,-0.923,0.192,-0.794,1.70,21
28.71708,-32.37612,steep,99090.7,-1.060,0.171,-1.171,1.91,21
32.45024,-28.67611,steep,18.8,-0.524,0.212,-0.971,2.23,20
29.88309,-27.13996,steep,41.0,-0.967,0.210,-1.709,2.84,19
32.36879,-30.32449,steep,,-0.997,0.199,-1.179,1.64,19
29.93871,-27.62968,steep,0.0,-0.650,0.004,-0.953,11.02,22
30.23088,-28.30105,steep,,-0.653,0.061,-1.107,2.07,22
31.62656,-30.78883,nan,,,,-1.321,,3
30.36547,-32.66163,steep,821406042.4,-0.828,0.010,-1.250,3.27,22
27.18539,-28.64423,steep,7603775.8,-1.146,0.091,-1.090,2.70,22
32.64034,-30.56954,nan,,,,-1.222,,3
28.54381,-30.55740,steep,10842.1,-0.811,0.113,-0.687,0.42,22
31.52411,-29.32120,flat,2693.5,-0.807,0.028,-0.387,1.36,22
30.67961,-28.43438,steep,120.4,-0.621,0.462,-1.687,1.10,12
31.44765,-29.05623,nan,151.2,-0.015,1.138,,0.15,5
31.72955,-31.20422,steep,7842.2,-0.591,0.144,-1.204,2.61,22
31.01394,-28.96505,flat,89880358.1,-0.520,0.132,-0.406,1.01,22
29.36244,-29.15979,steep,14567.3,-0.849,0.048,-0.645,1.62,22
28.85157,-31.34923,steep,19030989.1,-0.841,0.027,-1.030,1.37,22
31.63807,-28.71294,steep,,-0.876,0.004,-1.042,17.92,22
29.12382,-29.89344,steep,308063.5,-3.502,2.563,-0.842,0.36,6
30.37744,-29.96193,uss,663133.7,-1.331,0.079,-3.125,10.16,21
29.31940,-29.16728,steep,917.0,-1.883,0.160,-0.840,2.97,17
31.58121,-28.81989,steep,50844.0,-1.067,0.100,-1.189,1.99,22
27.89057,-28.97449,steep,1039.0,-1.717,0.047,-0.614,7.59,22
32.83484,-31.30181,steep,16147707.8,-1.032,1.031,-0.633,0.91,9
