ra,dec,imag,z,has_cutout,has_control,detected_excluded
176.72979,25.38356,18.78,1.055,1,1,0
176.73115,25.16936,19.70,1.649,1,1,0
176.76973,24.56500,20.14,1.397,1,1,0
176.77364,24.98446,19.90,1.938,1,1,0
176.79126,25.29575,18.36,0.564,1,1,1
176.87495,24.80386,19.07,1.942,1,1,0
176.89518,26.00091,19.66,0.565,1,1,0
176.90284,25.37106,21.64,2.169,1,1,0
176.91277,24.93006,18.95,0.941,1,1,0
176.92797,26.09547,19.64,1.760,1,1,0
176.94717,24.41270,19.60,0.523,1,1,0
176.95161,26.07436,20.39,2.513,1,1,0
176.95322,25.91749,19.74,1.499,1,1,0
176.95753,26.01030,19.60,0.562,1,1,0
176.98889,23.82083,19.73,1.073,1,1,0
176.99034,24.88524,18.95,1.922,1,1,0
176.99289,24.92431,21.39,2.472,1,1,0
176.99603,24.69938,20.02,1.805,1,1,0
177.00671,25.47798,20.42,1.790,1,1,1
177.02523,25.79608,19.29,0.511,1,1,0
177.03486,25.70526,19.21,0.434,1,1,0
177.04961,26.00661,20.09,2.336,1,1,0
177.05754,25.58004,18.83,2.321,1,1,0
177.06105,25.13256,19.88,1.152,1,1,0
177.08094,25.08262,18.83,1.003,1,1,0
177.08187,23.62717,18.96,0.387,1,1,0
177.08489,25.73148,18.37,2.134,1,1,0
177.08531,24.32902,19.55,2.073,1,1,0
177.08608,25.05936,21.39,2.592,1,1,0
177.10029,25.92999,19.18,1.922,1,1,0
177.10502,23.63709,19.24,1.956,1,1,0
177.10543,23.98136,19.08,1.230,1,1,0
177.10979,26.36724,21.84,2.403,1,1,0
177.13409,24.76972,20.81,2.434,1,1,0
177.13693,24.81419,19.76,1.607,1,1,0
177.14822,25.26374,18.65,1.195,1,1,0
177.15744,24.83086,19.93,1.015,1,1,0
177.15893,23.76115,19.69,1.322,1,1,0
177.16428,26.41760,18.65,1.262,1,1,0
177.16605,24.74878,20.10,2.730,1,1,0
177.19211,23.71740,19.10,0.364,1,1,0
177.19327,23.66393,19.94,0.657,1,1,0
177.20011,25.59298,21.62,2.370,1,1,1
177.20194,25.19001,19.02,2.470,1,1,0
177.21550,24.01783,20.88,0.839,1,1,0
177.21903,25.36483,20.34,0.949,1,1,0
177.21941,24.23969,20.02,0.849,1,1,0
177.21949,24.95440,19.90,0.854,1,1,0
177.21961,25.90872,21.26,0.902,1,1,0
177.21999,24.61155,19.58,2.767,1,1,0
177.22089,24.76941,19.64,2.646,1,1,0
177.22731,25.47131,19.79,3.119,1,1,0
177.22781,24.58001,18.58,1.502,1,1,0
177.23456,25.81221,19.24,1.616,1,1,0
177.23517,26.29711,21.49,2.133,1,1,0
177.23745,26.34669,20.55,2.223,1,1,0
177.24130,25.02621,19.09,1.718,1,1,0
177.24159,25.60991,19.51,0.640,1,1,0
177.24179,24.46319,19.65,3.198,1,1,0
177.24201,25.53030,18.37,2.891,1,1,0
177.24245,25.56554,19.22,2.674,1,1,0
177.24991,25.41672,18.86,1.904,1,1,0
177.25982,26.14907,19.33,1.496,1,1,0
177.26194,23.48586,21.33,2.460,1,1,0
177.27386,26.13500,19.39,0.431,1,1,0
177.27606,25.89926,18.76,1.632,1,1,0
177.28349,26.24276,21.26,3.235,1,1,0
177.29554,23.53429,20.28,2.898,1,1,0
177.30465,25.90842,18.63,3.012,1,1,0
177.30489,26.66731,19.37,0.579,1,1,0
177.31095,25.59396,21.30,2.348,1,1,0
177.32852,26.59721,20.76,2.607,1,1,0
177.32891,26.65081,18.47,2.861,1,1,0
177.32920,23.64818,18.77,2.825,1,1,0
177.33063,24.73081,20.55,2.459,1,1,0
177.34497,26.29169,21.71,2.062,1,1,0
177.34862,26.47863,19.18,0.913,1,1,0
177.35484,23.61102,20.33,0.739,1,1,0
177.36079,24.10986,21.11,0.753,1,1,0
177.36704,25.13562,18.41,0.683,1,1,0
177.36778,25.44798,20.73,0.934,1,1,0
177.36801,24.29538,21.37,2.655,1,1,0
177.37893,25.24236,18.56,0.596,1,1,1
177.41282,25.55298,21.07,2.363,1,1,0
177.41397,24.34659,19.38,0.404,1,1,0
177.41873,25.83981,20.05,1.645,1,1,0
177.42248,23.70152,18.48,1.497,1,1,0
177.43001,23.88191,19.68,1.407,1,1,0
177.43227,25.91726,21.83,2.298,1,1,0
177.43956,26.81790,20.78,3.190,1,1,0
177.44872,23.96038,20.26,2.794,1,1,0
177.45355,23.96562,21.47,2.283,1,1,0
177.46034,25.37111,21.40,2.212,1,1,0
177.47402,25.34128,18.89,1.994,1,1,0
177.48534,26.40778,20.99,2.890,1,1,0
177.49558,24.94011,19.09,1.713,1,1,0
177.49749,26.09269,19.36,2.830,1,1,0
177.49970,25.38402,20.06,1.725,1,1,0
177.50174,25.56891,19.63,1.890,1,1,0
177.50790,23.69204,19.98,1.093,1,1,0
177.51217,24.28830,20.48,2.540,1,1,0
177.52437,26.49112,19.54,1.063,1,1,0
177.53694,23.66663,20.07,0.875,1,1,0
177.53857,25.66242,19.21,0.648,1,1,0
177.54084,24.55405,18.44,0.933,1,1,0
177.54390,25.75930,20.47,0.902,1,1,0
177.54592,24.12499,18.27,0.417,1,1,0
177.55547,26.03995,19.24,1.331,1,1,0
177.55786,23.76726,18.54,0.355,1,1,0
177.57390,26.25828,21.22,2.860,1,1,0
177.57957,23.71561,20.67,2.414,1,1,0
177.58006,24.29828,15.77,1.335,1,1,1
177.58201,24.90845,20.64,2.593,1,1,1
177.59251,25.74097,19.94,0.683,1,1,0
177.59365,26.88003,18.60,1.540,1,1,0
177.59739,23.80521,20.19,2.710,1,1,0
177.60097,26.01914,19.68,2.803,1,1,0
177.60409,25.86154,20.35,2.325,1,1,0
177.60483,24.40819,18.66,0.998,1,1,1
177.60560,23.90353,18.39,3.246,1,1,1
177.61784,25.90262,20.57,2.889,1,1,0
177.62268,25.33712,18.61,2.057,1,1,0
177.62962,24.72899,20.17,3.173,1,1,0
177.63066,26.91322,20.09,0.751,1,1,0
177.64443,23.59801,18.38,2.650,1,1,0
177.64567,26.75745,19.34,0.744,1,1,0
177.65289,26.32568,21.69,3.268,1,1,0
177.66839,26.12915,19.95,2.801,1,1,0
177.67595,23.96849,20.04,2.674,1,1,0
177.67889,25.47563,17.91,1.793,1,1,0
177.68803,25.92597,19.50,1.410,1,1,0
177.69482,23.40981,21.57,2.302,1,1,0
177.71604,24.97680,20.42,2.850,1,1,0
177.71814,24.64778,20.33,2.193,1,1,0
177.72063,23.62902,19.68,1.668,1,1,0
177.72146,24.37505,19.85,4.044,1,1,0
177.72306,24.35678,18.95,0.799,1,1,0
177.72715,26.08769,18.58,0.317,1,1,0
177.72728,24.55737,18.50,2.430,1,1,0
177.73069,24.50327,21.84,2.803,1,1,0
177.73199,25.45110,18.63,1.546,1,1,0
177.74523,25.52937,21.54,2.557,1,1,1
177.75536,24.58169,21.39,2.342,1,1,0
177.75715,25.15555,20.00,2.410,1,1,0
177.75745,25.67341,18.87,1.691,1,1,0
177.75997,25.02635,19.01,2.068,1,1,1
177.76234,23.90936,19.95,1.428,1,1,0
177.76596,23.43977,20.08,2.994,1,1,0
177.77804,23.35778,18.66,0.981,1,1,1
177.77964,27.21030,20.09,2.539,1,1,0
177.78055,24.80852,18.60,2.513,1,1,0
177.79057,24.67233,20.91,0.847,1,1,0
