name,gaia_id,epoch,ra_prop,dec_prop,epoch_mjd,band_mhz,i_mjy,e_i,v_mjy,e_v,n_products,note
CNS5 3591,5853498713190525696,mid1,217.380678,-62.674988,59246.87227,1367.5,0.6646,0.2743,0.0521,0.2525,4,offset_arcsec=11.89
CNS5 3591,5853498713190525696,mid2,217.371823,-62.674161,60660.01088,1367.5,0.3247,0.2237,-0.1473,0.2181,4,offset_arcsec=8.48
CNS5 4449,4472832130942575872,mid1,269.447371,4.754004,59239.04867,1367.5,0.4688,0.1820,0.1597,0.1523,2,offset_arcsec=11.00
CNS5 4449,4472832130942575872,mid2,269.446513,4.765054,60641.26807,1367.5,0.2560,0.1784,-0.0911,0.1568,2,offset_arcsec=7.61
CNS5 2674,3864972938605115520,mid1,164.097768,6.998970,59218.88147,1367.5,0.8618,0.2835,-0.1183,0.2660,8,offset_arcsec=3.18
CNS5 2674,3864972938605115520,mid2,nan,nan,nan,nan,nan,nan,nan,nan,8,"FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('operands could not be broadcast together with shapes (92,92) (91,91) ')"
CNS5 2696,762815470562110464,mid1,165.829964,35.942018,59214.90125,1367.5,nan,nan,nan,nan,4,offset_arcsec=nan
CNS5 2696,762815470562110464,mid2,165.829208,35.936976,60603.07286,1367.5,nan,nan,nan,nan,8,offset_arcsec=nan
CNS5  425,5140693571158946048,mid1,24.776362,-17.946863,59233.37168,1367.5,15.9946,0.1555,9.2594,0.1523,2,offset_arcsec=2.27
CNS5  425,5140693571158946048,mid2,24.780265,-17.946181,60769.21956,1367.5,11.8724,0.1742,7.1089,0.1522,2,offset_arcsec=1.10
CNS5  424,5140693571158739840,mid1,24.776548,-17.947553,59233.37168,1367.5,15.9946,0.1546,9.2594,0.1518,2,offset_arcsec=0.55
CNS5  424,5140693571158739840,mid2,24.780705,-17.946932,60769.21956,1367.5,11.8724,0.1755,7.1089,0.1523,2,offset_arcsec=2.06
CNS5 4678,4075141768785646848,mid1,282.459769,-23.837369,59231.15691,1367.5,0.5449,0.1777,-0.3616,0.1591,4,offset_arcsec=10.97
CNS5 4678,4075141768785646848,mid2,282.460498,-23.837572,60603.41763,1367.5,0.5554,0.2888,0.3449,0.2888,4,offset_arcsec=5.77
CNS5 5688,6553614253923452800,mid1,346.515545,-35.845311,59220.35857,1367.5,0.3207,0.1384,0.0796,0.1365,2,offset_arcsec=9.93
CNS5 5688,6553614253923452800,mid2,nan,nan,nan,nan,nan,nan,nan,nan,2,"FAILED: RuntimeError: cutout/photometry failed after 3 retries: ValueError('operands could not be broadcast together with shapes (92,92) (91,91) ')"
CNS5 2890,3796072592206250624,mid1,176.938536,0.797413,59223.88766,1367.5,0.5076,0.2038,-0.0226,0.1464,2,offset_arcsec=5.44
CNS5 2890,3796072592206250624,mid2,176.939178,0.796120,60614.08824,1367.5,0.5319,0.2243,0.0088,0.1761,2,offset_arcsec=10.10
CNS5 5218,1872046574983497216,mid1,316.760978,38.760457,59215.28625,1367.5,0.4573,0.2011,-0.1869,0.1987,4,offset_arcsec=8.10
CNS5 5218,1872046574983497216,mid2,316.766645,38.763854,60630.43161,1367.5,0.6260,0.5052,0.4979,0.4691,6,offset_arcsec=11.61
CNS5 2093,703790044252850688,mid1,127.448357,26.772434,59217.71126,1367.5,0.2871,0.1761,0.1387,0.1309,2,offset_arcsec=11.73
CNS5 2093,703790044252850688,mid2,127.447041,26.771788,60604.96147,1367.5,nan,nan,nan,nan,8,offset_arcsec=nan
CNS5  919,4848140361962951552,mid1,54.004852,-44.514883,59221.53187,1367.5,0.8942,0.4699,-0.2878,0.4524,6,offset_arcsec=5.11
CNS5  919,4848140361962951552,mid2,54.006076,-44.515320,60761.33144,1367.5,1.6580,0.5354,0.5698,0.5152,6,offset_arcsec=9.66
