freq_mhz,r_geom_rsun,r_plasma_rsun,miss_rsun,lon_deg,lat_deg,ua_x,ua_y,ua_z,ub_x,ub_y,ub_z,n_a,n_b
0.125,106.2149,82.5856,31.5781,171.1365,1.2275,0.340913,-0.939076,-0.043764,0.38688,0.921289,-0.039377,43,42
0.175,73.2771,59.0415,28.2677,172.5681,1.3447,0.503094,-0.862657,-0.052145,0.556197,0.830467,-0.031132,43,42
0.225,62.2572,45.9748,31.6533,166.4419,-3.4841,0.577457,-0.812868,-0.076088,0.585109,0.808093,-0.068072,43,42
0.275,53.1909,37.6708,26.1002,172.3856,-3.8684,0.584148,-0.807029,-0.086465,0.633349,0.772095,-0.052319,43,42
0.325,46.2046,31.9312,22.7151,179.5213,0.3581,0.588198,-0.805729,-0.06946,0.674095,0.738312,-0.022174,43,42
0.375,44.1423,27.7303,19.6606,-175.8152,1.3258,0.585607,-0.80737,-0.072236,0.691026,0.722762,-0.009854,43,42
0.425,40.3823,24.5251,12.5019,-169.1978,4.6253,0.588825,-0.804575,-0.077105,0.716338,0.697402,0.022159,43,42
0.475,41.1619,22.0012,17.5259,-172.3313,3.506,0.590926,-0.803819,-0.068425,0.707109,0.707092,0.004239,43,42
0.525,38.0681,19.9639,19.8244,-177.0051,1.7702,0.6102,-0.789158,-0.069902,0.704584,0.709561,-0.009207,43,42
0.575,37.6691,18.2863,20.1718,-171.5289,7.5851,0.604411,-0.795271,-0.047234,0.71781,0.696163,0.010256,43,41
0.625,35.8079,16.882,17.8142,-177.0638,1.7186,0.617757,-0.782742,-0.075439,0.710322,0.703864,-0.004315,43,42
0.675,33.4463,15.6903,18.7096,-170.3682,5.3977,0.617847,-0.783992,-0.060181,0.728208,0.685343,0.004291,43,42
0.725,32.0986,14.6671,17.556,-176.1109,7.1032,0.629959,-0.774345,-0.059516,0.721956,0.691842,0.011553,43,42
0.775,29.035,13.7799,15.7671,174.3052,-0.1859,0.651892,-0.753306,-0.086982,0.715562,0.698533,-0.00485,43,42
0.825,23.9876,13.0037,14.3175,-176.5447,4.7137,0.655767,-0.751024,-0.077026,0.739049,0.673588,0.009292,43,42
0.875,25.5342,12.3196,18.2407,-179.8102,2.1826,0.65508,-0.752046,-0.072776,0.731375,0.681952,-0.005735,43,42
0.925,28.4312,11.7126,18.8832,-178.7966,5.8141,0.645468,-0.761311,-0.06145,0.726359,0.687312,0.00233,43,42
0.975,22.8045,11.1706,12.5866,-172.4373,10.2254,0.656617,-0.750977,-0.069911,0.746735,0.664682,0.02417,43,42
1.025,23.8701,10.6842,14.1661,179.4982,11.997,0.661853,-0.747058,-0.06209,0.736286,0.676222,0.024624,43,42
1.075,22.1611,10.2455,11.3736,-175.508,14.7902,0.662543,-0.74621,-0.064866,0.745511,0.665568,0.035103,43,42
1.125,23.6119,9.848,16.6896,176.8191,11.0285,0.665645,-0.744013,-0.057977,0.734032,0.678928,0.015964,43,42
1.175,22.8119,9.4864,18.1436,175.1409,3.044,0.668731,-0.740046,-0.071633,0.73296,0.680258,-0.004204,43,42
1.225,20.5007,9.1562,14.6911,179.8098,5.4281,0.669856,-0.738617,-0.075751,0.743094,0.669139,0.008036,43,42
1.275,21.0973,8.8537,18.0323,177.6393,2.5055,0.670653,-0.738198,-0.072726,0.739327,0.673325,-0.005356,43,42
1.325,22.0642,8.5757,20.0855,177.4798,5.8813,0.668915,-0.740867,-0.060567,0.737279,0.675578,-0.003837,43,42
1.375,21.2009,8.3193,15.2793,179.7035,4.6789,0.667975,-0.740343,-0.075512,0.741318,0.671131,0.00554,43,42
1.425,20.4964,8.0823,13.7316,174.9664,-1.3181,0.673755,-0.73329,-0.091328,0.738592,0.674151,-0.001549,43,42
1.475,16.0499,7.8626,11.984,159.4772,-2.5639,0.698129,-0.709413,-0.096691,0.741372,0.671092,0.001511,43,42
1.525,20.99,7.6585,16.5148,-173.8907,16.3309,0.665788,-0.74447,-0.049899,0.749729,0.661334,0.023323,43,42
1.575,19.3931,7.4683,16.7656,176.2205,6.6944,0.676789,-0.732964,-0.068713,0.742724,0.669583,0.004422,43,42
1.625,17.7102,7.2908,6.4744,-175.0385,12.6044,0.67404,-0.733709,-0.085677,0.754305,0.655435,0.037797,43,42
1.675,15.2767,7.1247,7.7779,174.0841,15.101,0.688905,-0.720205,-0.081949,0.752325,0.657889,0.034485,43,42
1.725,24.258,6.969,20.1979,172.2986,3.0445,0.668859,-0.740414,-0.066452,0.726518,0.687089,-0.008963,43,42
1.775,17.9014,6.8228,15.1654,175.1069,5.8264,0.681213,-0.728247,-0.074863,0.745377,0.666614,0.006155,43,42
1.825,18.8919,6.6853,16.0617,171.1416,0.6594,0.682225,-0.726586,-0.081494,0.739678,0.67295,-0.003882,43,42
1.875,18.2329,6.5556,11.1436,172.8285,4.7241,0.681567,-0.726537,-0.087243,0.743126,0.668996,0.014466,43,42
1.925,17.467,6.4332,12.5248,166.6658,-1.8288,0.688826,-0.718732,-0.09457,0.740874,0.671644,0.000995,42,42
1.975,23.1046,6.3175,22.222,-174.3081,16.9619,0.660651,-0.750054,-0.030988,0.745867,0.665962,0.013297,43,42
