ra,dec,s150_mjy,s1400_mjy,alpha,e_alpha,sep_arcsec,class
181.04970,29.38532,126.40,3.10,-1.65,0.09,5.8,uss
179.51479,31.69030,99.90,4.60,-1.37,0.07,9.4,uss
181.03436,30.26336,131.40,6.40,-1.34,0.06,5.4,uss
177.87090,28.81888,191.10,9.70,-1.32,0.05,3.5,uss
180.26907,29.16483,75.10,3.90,-1.31,0.09,1.0,uss
177.03052,29.32757,135.10,7.10,-1.31,0.06,0.3,uss
181.90182,31.86576,40.70,2.50,-1.24,0.10,11.8,steep
181.15634,28.85706,78.20,4.90,-1.23,0.07,4.2,steep
179.21597,30.86670,50.00,3.20,-1.22,0.09,6.6,steep
178.06602,28.42059,62.20,4.00,-1.22,0.08,5.7,steep
181.70032,31.61381,321.40,20.90,-1.21,0.05,0.5,steep
177.86212,27.95017,123.80,8.10,-1.21,0.06,4.9,steep
182.22121,28.71458,63.10,4.20,-1.20,0.08,1.3,steep
182.08598,31.76213,62.50,4.40,-1.18,0.08,4.1,steep
179.58923,27.04148,106.30,7.60,-1.17,0.06,12.5,steep
179.89465,27.50160,43.30,3.10,-1.17,0.09,10.6,steep
181.95415,31.79626,190.50,14.00,-1.16,0.05,1.2,steep
178.03275,27.78919,86.80,6.60,-1.14,0.06,5.0,steep
179.07713,32.57765,868.30,67.80,-1.13,0.05,2.0,steep
182.61530,31.70976,726.00,57.60,-1.13,0.05,1.7,steep
182.09637,31.74535,60.30,4.80,-1.12,0.07,4.2,steep
178.03494,30.68298,141.80,11.50,-1.12,0.05,3.9,steep
178.42401,31.49268,187.10,15.30,-1.11,0.05,1.6,steep
181.77817,31.97085,195.70,16.20,-1.11,0.05,1.5,steep
180.54234,31.23024,83.90,7.00,-1.10,0.07,4.4,steep
180.35001,31.70822,83.10,7.20,-1.09,0.09,4.8,steep
177.08510,29.33617,207.60,18.00,-1.09,0.05,2.0,steep
179.99640,29.36914,162.90,14.50,-1.07,0.05,4.3,steep
177.04147,31.59051,44.60,4.00,-1.07,0.09,7.4,steep
178.20631,28.09363,209.50,18.80,-1.07,0.05,0.4,steep
182.65514,31.94074,391.30,35.60,-1.07,0.05,12.7,steep
180.60304,27.52959,181.20,16.50,-1.06,0.05,4.0,steep
178.69704,32.33547,115.00,10.60,-1.06,0.07,1.7,steep
179.70125,27.31697,48.70,4.50,-1.06,0.08,2.6,steep
179.15524,31.04764,152.00,14.20,-1.05,0.05,2.7,steep
180.25851,30.08494,32.10,3.00,-1.05,0.12,5.8,steep
179.05573,30.31713,2781.60,262.00,-1.05,0.05,2.1,steep
180.21283,29.14315,141.30,13.40,-1.05,0.05,0.8,steep
180.86232,28.25454,134.40,12.90,-1.04,0.05,1.9,steep
181.58447,32.26971,114.50,11.00,-1.04,0.06,4.9,steep
178.22939,31.73201,468.10,45.40,-1.04,0.05,3.1,steep
180.92519,30.62626,3303.00,320.70,-1.04,0.05,1.7,steep
177.92009,28.20841,60.60,5.90,-1.04,0.07,6.4,steep
181.64661,29.96647,93.20,9.10,-1.03,0.06,3.2,steep
180.59363,27.48138,179.60,17.70,-1.03,0.05,3.2,steep
