ra,dec,alpha_raw,e_alpha,ref_alpha,ref_e,ref_scode,ref_sep,flagged_uss
176.55991,30.13457,-0.861,0.049,-0.878,0.023,S,0.2,0
176.58556,30.23629,-0.680,0.078,-0.591,0.250,S,3.4,0
176.68941,30.21885,-0.814,0.051,-0.788,0.050,S,1.4,0
176.71910,29.22028,-0.915,0.085,-0.647,0.000,L,2.6,0
176.77681,30.16794,-0.925,0.064,-1.044,0.075,S,4.1,0
176.79060,29.75983,-0.750,0.057,-0.763,0.057,S,1.0,0
176.89253,28.72762,-0.809,0.047,-1.145,0.007,S,13.5,0
176.91780,29.62645,-0.874,0.054,-0.918,0.030,S,1.1,0
176.92957,31.18235,0.306,0.090,0.488,0.000,L,1.2,0
176.97241,28.72487,-0.868,0.047,-0.859,0.008,S,0.4,0
177.01921,28.55435,-0.532,0.108,-0.446,0.000,L,2.5,0
177.03052,29.32757,-1.309,0.058,-1.295,0.070,S,0.9,1
177.04147,31.59051,-1.072,0.091,-1.077,0.164,S,5.1,0
177.04549,28.57895,-0.609,0.048,-0.597,0.026,S,1.1,0
177.05473,29.83307,-0.593,0.067,-0.585,0.112,S,0.4,0
177.08131,30.59303,-0.911,0.048,-0.911,0.014,S,0.8,0
177.08510,29.33617,-1.087,0.054,-1.058,0.036,S,1.8,0
177.14969,31.70157,-0.810,0.050,-0.829,0.039,S,3.1,0
177.18449,31.18092,-0.713,0.090,-0.981,0.078,S,7.8,0
177.25113,29.97789,-0.191,0.061,-0.262,0.076,S,0.9,0
177.25269,31.22952,-0.838,0.058,-0.813,0.067,C,4.8,0
177.25429,28.78087,-0.770,0.051,-0.726,0.048,S,1.9,0
177.28030,31.23397,-0.458,0.084,,,,,0
177.28699,28.40983,-0.027,0.047,-0.047,0.020,S,0.7,0
177.30685,29.11505,-0.814,0.061,-0.829,0.080,S,2.6,0
177.31120,31.20740,-0.789,0.067,-0.874,0.091,S,5.5,0
177.37965,29.31627,-0.626,0.051,-0.607,0.053,S,1.9,0
177.38219,29.50550,-0.925,0.080,-0.931,0.125,S,5.2,0
177.38979,30.92368,-0.583,0.058,-0.569,0.081,S,4.4,0
177.42674,28.49328,-0.621,0.047,-0.923,0.006,S,11.4,0
177.45003,28.66656,-0.690,0.116,-0.610,0.000,L,5.5,0
177.45038,28.63248,-0.755,0.046,-0.738,0.004,S,0.7,0
177.47011,31.56833,-0.886,0.051,-0.847,0.038,S,2.3,0
177.47603,29.67252,-0.790,0.055,-0.817,0.059,S,1.1,0
177.49753,31.73430,-0.597,0.063,,,,,0
177.50990,31.04464,-0.904,0.048,-0.902,0.019,S,3.5,0
177.51207,30.12417,-0.877,0.053,-0.902,0.044,S,7.0,0
177.54453,27.91630,-0.425,0.062,-0.572,0.063,S,12.1,0
177.56691,28.10241,-0.872,0.047,-0.866,0.005,S,1.0,0
177.62621,30.42117,-0.943,0.064,-1.045,0.079,S,4.3,0
177.68340,30.33806,-0.617,0.054,-0.737,0.048,S,2.0,0
177.68398,31.72252,-0.708,0.087,-0.711,0.183,S,2.8,0
177.68405,29.66663,-0.892,0.048,-0.896,0.027,S,0.7,0
177.69653,28.45342,-0.805,0.053,-0.854,0.043,S,0.6,0
177.70564,27.77348,-0.922,0.089,,,,,0
177.72363,30.70020,-0.675,0.052,-0.651,0.056,S,3.8,0
177.72440,31.10910,-0.334,0.058,-0.334,0.081,S,2.7,0
177.75526,28.00922,-0.587,0.047,-0.585,0.008,S,1.1,0
177.75545,31.77421,-0.679,0.055,,,,,0
177.76810,31.78803,-0.726,0.054,,,,,0
177.78075,29.65270,-0.435,0.084,-0.582,0.105,S,0.8,0
177.78075,31.36357,-0.609,0.054,-0.557,0.064,S,4.2,0
177.78703,29.50896,-0.843,0.076,-0.646,0.223,S,0.9,0
177.79332,31.10266,-0.706,0.047,-0.720,0.018,S,2.8,0
177.80223,28.56021,-0.975,0.069,-1.011,0.054,S,8.0,0
177.81183,28.50135,-0.804,0.047,-0.772,0.017,S,1.1,0
177.81633,31.22594,-0.997,0.047,-0.909,0.025,S,2.6,0
177.82787,29.75455,-0.604,0.049,-0.576,0.040,S,0.8,0
177.84489,32.00026,-0.466,0.055,-0.473,0.067,S,3.0,0
177.84984,29.78013,-0.697,0.061,-0.842,0.065,S,1.2,0
177.86212,27.95017,-1.212,0.058,-1.174,0.075,S,2.3,0
177.87090,28.81888,-1.325,0.052,-1.268,0.052,S,0.7,1
177.87994,29.45570,-0.597,0.059,-0.517,0.099,S,1.2,0
177.89404,29.90354,-0.286,0.079,-0.050,0.000,L,0.7,0
177.92009,28.20841,-1.035,0.072,-1.152,0.113,S,6.6,0
177.94690,32.14335,-0.701,0.049,-0.722,0.027,C,1.6,0
177.96198,29.22553,-0.827,0.048,-0.833,0.025,S,0.4,0
177.96539,31.77521,-0.827,0.050,-0.914,0.033,S,2.0,0
177.97719,27.96583,-0.654,0.090,-0.510,0.000,L,3.8,0
177.97746,29.06161,-1.025,0.081,-1.259,0.061,S,9.1,0
177.98076,30.28308,-0.761,0.056,-0.819,0.054,S,2.1,0
177.99452,31.67516,-0.884,0.047,-0.881,0.010,C,1.8,0
178.02251,27.69797,-0.612,0.086,-0.433,0.000,L,7.2,0
178.02945,31.21407,-0.291,0.067,-0.324,0.094,S,2.9,0
178.03055,32.01375,-0.627,0.100,-0.502,0.000,L,3.5,0
178.03275,27.78919,-1.145,0.064,-1.105,0.087,S,2.6,0
178.03494,30.68298,-1.116,0.053,-1.175,0.056,S,2.9,0
178.06355,32.00502,-0.292,0.104,-0.217,0.000,L,3.1,0
178.06602,28.42059,-1.219,0.081,-1.526,0.120,I,3.1,0
178.08076,28.64307,-1.004,0.048,-1.011,0.017,S,0.7,0
178.08195,30.28484,-0.937,0.046,-0.926,0.005,S,1.5,0
178.08571,27.57622,-0.747,0.057,-0.741,0.073,S,0.9,0
178.09586,28.55306,-0.580,0.052,,,,,0
178.10832,32.19099,-0.802,0.091,-0.788,0.155,M,1.5,0
178.11218,28.55095,-0.595,0.052,,,,,0
178.11469,32.16635,-0.092,0.073,-0.410,0.052,M,0.5,0
178.12001,28.26029,-0.523,0.051,-0.506,0.046,S,0.2,0
178.12656,28.45402,-0.962,0.047,-0.959,0.019,S,1.6,0
178.12840,27.73829,-0.783,0.048,-0.793,0.033,S,0.6,0
178.14323,28.12686,-0.693,0.047,-0.668,0.014,S,1.6,0
178.14925,27.61239,-0.489,0.078,-0.270,0.000,L,1.6,0
178.15572,32.49631,-0.442,0.052,-0.428,0.054,S,1.5,0
178.15964,28.55052,-0.898,0.077,-0.873,0.092,S,9.2,0
178.18459,30.39624,-0.732,0.062,-0.618,0.142,S,3.9,0
178.20631,28.09363,-1.071,0.049,-1.140,0.033,S,0.5,0
178.20750,32.22258,-0.840,0.048,-0.840,0.026,S,1.3,0
178.22939,31.73201,-1.037,0.047,-1.033,0.015,S,1.9,0
178.24405,31.98719,-0.696,0.098,-0.543,0.000,L,4.4,0
178.24496,29.50404,-0.338,0.048,-0.281,0.031,S,0.6,0
178.24675,29.67152,-0.744,0.060,-0.273,0.000,L,4.2,0
178.26953,30.44295,-0.681,0.093,-0.504,0.000,L,3.5,0
178.31219,28.28642,-0.607,0.079,-0.582,0.149,S,1.6,0
178.34509,30.84793,-0.659,0.052,-0.728,0.046,S,3.7,0
178.34972,30.98331,-0.576,0.051,-0.562,0.042,S,3.0,0
178.35130,30.90358,-0.793,0.053,-0.743,0.063,S,2.1,0
178.36057,30.54660,-0.800,0.058,-0.779,0.077,S,5.4,0
178.37624,32.61192,-0.799,0.049,-0.782,0.018,S,2.5,0
178.40482,29.33797,-0.586,0.107,-0.466,0.000,L,5.5,0
178.41196,32.50077,-0.577,0.088,-0.638,0.126,S,2.4,0
178.42401,31.49268,-1.113,0.050,-1.140,0.043,S,1.1,0
178.46481,31.02728,-0.714,0.058,-0.690,0.076,S,3.6,0
178.47739,29.28401,-0.816,0.049,-0.812,0.029,S,1.2,0
178.48254,27.83536,-0.778,0.061,-0.806,0.072,S,4.3,0
178.48964,28.37444,-0.791,0.068,-0.659,0.136,S,1.3,0
178.49736,30.67081,-0.911,0.048,-0.904,0.016,S,4.2,0
178.52495,30.35704,-0.739,0.059,-0.692,0.070,S,5.5,0
178.53011,28.80896,-0.752,0.048,-0.735,0.023,S,0.1,0
178.53375,28.45173,-0.366,0.051,-0.369,0.044,C,1.5,0
178.55418,29.26877,-0.854,0.047,-0.847,0.001,S,0.9,0
178.56734,31.50721,-0.861,0.054,-0.852,0.050,S,1.5,0
178.59410,32.35213,-0.759,0.047,-0.746,0.017,S,3.0,0
178.59544,31.69994,-0.675,0.054,-0.625,0.067,S,3.6,0
178.60098,29.99740,-0.886,0.086,-0.606,0.312,M,2.2,0
178.60982,27.45199,-0.908,0.073,-1.040,0.099,S,1.4,0
178.62236,29.98387,-0.864,0.047,-0.824,0.010,I,1.6,0
178.65331,31.34730,-0.836,0.049,-0.814,0.036,S,1.4,0
178.67065,27.58938,-0.533,0.060,-0.506,0.081,S,2.2,0
178.67468,32.50718,-0.563,0.054,-0.896,0.035,I,1.0,0
178.67896,30.67421,-0.625,0.067,-0.647,0.103,S,1.1,0
178.69334,29.04188,-0.672,0.065,-0.654,0.093,S,4.3,0
178.69704,32.33547,-1.059,0.066,-1.043,0.054,S,0.9,0
178.71384,27.93217,-0.717,0.047,-0.703,0.013,S,5.0,0
178.72997,32.58805,-0.594,0.047,-0.587,0.012,S,2.6,0
178.74033,27.28354,-0.765,0.047,-0.747,0.025,S,0.4,0
178.75310,32.77629,-0.403,0.063,-0.441,0.084,S,2.0,0
178.76120,29.00949,-0.841,0.046,-0.841,0.003,S,0.9,0
178.76978,29.51739,-0.442,0.047,-0.444,0.011,S,1.0,0
178.78719,32.60483,-0.896,0.050,-0.892,0.039,C,1.9,0
178.80293,30.62256,-0.965,0.051,-0.922,0.037,S,3.6,0
178.80936,32.14079,-0.782,0.055,-0.772,0.063,S,0.5,0
178.82635,27.90323,-0.520,0.051,-0.525,0.048,S,0.2,0
178.84534,28.24130,-0.621,0.054,-0.618,0.061,S,1.3,0
178.84866,31.92823,-0.404,0.055,-0.421,0.062,I,4.0,0
178.85458,30.05127,-0.863,0.064,-1.551,0.025,S,7.0,0
178.87296,29.15981,-0.593,0.053,-0.576,0.055,S,1.1,0
178.91815,27.43532,-0.723,0.057,-0.792,0.058,C,1.4,0
178.92029,31.89825,-0.790,0.057,-0.818,0.060,S,1.9,0
178.96779,30.30237,-0.940,0.049,-0.883,0.022,S,3.0,0
179.00146,28.23607,-0.255,0.074,-0.231,0.149,S,0.8,0
179.00829,27.52998,-0.911,0.058,-0.842,0.081,S,2.4,0
179.01201,28.87847,-0.580,0.050,-0.591,0.039,S,0.9,0
179.03386,30.12368,-0.934,0.069,-0.947,0.095,S,3.1,0
179.03864,32.25131,-0.593,0.048,-0.602,0.011,S,2.1,0
179.05573,30.31713,-1.050,0.047,-1.042,0.003,S,1.5,0
179.07713,32.57765,-1.133,0.048,-1.122,0.009,S,1.2,0
179.07817,31.46750,-0.482,0.046,-0.481,0.001,S,1.9,0
179.08975,31.21744,-0.714,0.064,-0.927,0.050,S,6.9,0
179.09418,32.40199,-0.521,0.081,,,,,0
179.09451,32.42266,-0.758,0.047,-0.683,0.014,I,1.1,0
179.14645,27.10271,-0.596,0.076,-0.649,0.109,S,2.1,0
179.14906,27.37796,-0.722,0.048,-0.689,0.034,S,0.6,0
179.15524,31.04764,-1.053,0.052,-1.017,0.052,S,1.5,0
179.16493,28.76200,-0.814,0.055,-0.811,0.053,M,0.7,0
179.16705,27.55680,-0.804,0.068,-0.799,0.103,S,2.1,0
179.16869,28.73957,-0.916,0.048,-0.899,0.016,M,3.6,0
179.17606,32.72260,-0.782,0.070,-0.696,0.095,S,6.3,0
179.18703,28.56388,-0.775,0.097,-0.584,0.000,L,0.8,0
179.19109,30.18977,-0.640,0.050,-0.446,0.029,C,9.6,0
179.20299,29.62822,-0.894,0.092,-0.673,0.000,L,2.8,0
179.21162,29.33926,-0.810,0.081,-0.803,0.165,S,6.8,0
179.21597,30.86670,-1.222,0.094,-1.312,0.184,S,5.1,0
179.24654,32.10017,-0.637,0.068,-0.622,0.106,S,1.1,0
179.24982,28.22969,-0.547,0.048,-0.821,0.012,C,11.8,0
179.25307,32.74888,-0.758,0.046,-0.749,0.007,S,1.8,0
179.26315,28.91756,-0.986,0.077,-0.969,0.140,S,1.0,0
179.28557,30.20410,-0.867,0.049,-0.875,0.031,S,3.1,0
179.28918,28.36726,-0.258,0.067,-0.283,0.113,S,0.9,0
179.31027,31.06235,-0.569,0.084,-0.340,0.000,L,4.4,0
179.32599,32.62131,-0.871,0.067,-0.903,0.094,S,1.8,0
179.32874,32.42131,-0.845,0.049,-0.835,0.019,M,1.9,0
179.34576,29.76597,-0.556,0.064,,,,,0
179.35320,31.46882,-0.599,0.067,-0.469,0.134,S,4.2,0
179.35623,32.42504,-0.747,0.056,-0.666,0.067,M,5.9,0
179.37305,32.53966,-0.794,0.050,-0.770,0.037,S,1.1,0
179.38234,32.83807,-0.563,0.055,-0.568,0.062,S,1.7,0
179.40414,32.27721,-0.500,0.049,-0.496,0.029,M,1.7,0
179.43484,32.29181,-0.538,0.050,-0.516,0.036,M,4.0,0
179.43652,28.38970,-0.462,0.055,-0.433,0.068,S,0.7,0
179.47292,29.60077,-1.013,0.057,-1.058,0.060,S,1.9,0
179.47777,27.14571,-0.782,0.047,-0.772,0.018,S,0.0,0
179.48862,31.07982,-0.805,0.082,-0.881,0.121,S,0.8,0
179.48920,31.14455,-0.648,0.071,-0.521,0.163,S,2.6,0
179.51479,31.69030,-1.368,0.073,-1.207,0.097,S,4.6,1
179.52025,27.87810,-0.530,0.054,-0.622,0.042,S,3.1,0
179.55367,30.10748,-0.960,0.047,-0.957,0.008,S,1.7,0
179.56340,32.14512,-0.372,0.052,-0.347,0.053,S,1.6,0
179.56448,27.79605,-0.524,0.048,-0.521,0.023,S,0.4,0
179.57109,28.19230,-0.414,0.102,-0.294,0.000,L,2.8,0
179.58923,27.04148,-1.172,0.057,,,,,0
179.59517,29.75274,-0.757,0.053,-0.745,0.050,S,5.1,0
179.60323,27.04824,-0.884,0.047,-0.922,0.013,M,7.9,0
179.60374,27.27496,-0.208,0.059,-0.655,0.025,S,9.8,0
179.63126,27.05652,-0.660,0.053,-0.662,0.057,M,0.8,0
179.68060,31.69460,-0.960,0.054,-0.991,0.041,S,4.4,0
179.68953,29.41910,-0.901,0.065,-0.806,0.132,S,4.0,0
179.69711,27.22886,-0.517,0.062,-0.475,0.113,S,1.5,0
179.70125,27.31697,-1.058,0.075,-1.053,0.151,S,2.0,0
179.71339,31.51052,-0.704,0.051,-0.645,0.047,S,2.2,0
179.72437,28.61269,-0.954,0.068,-0.922,0.117,S,1.3,0
179.76901,31.05017,-0.701,0.057,-0.781,0.060,S,0.6,0
179.82860,32.42656,-0.847,0.051,-0.783,0.051,S,3.3,0
179.84938,27.14396,-0.553,0.059,-0.531,0.088,S,4.7,0
179.88255,29.24513,-0.393,0.047,-0.388,0.002,S,1.7,0
179.89465,27.50160,-1.172,0.087,-1.304,0.129,S,7.0,0
179.90051,32.63033,-0.521,0.100,-0.363,0.000,L,2.5,0
179.90208,27.59313,-0.824,0.069,-0.597,0.206,S,2.8,0
179.91948,28.10864,-0.600,0.104,-0.680,0.125,S,3.8,0
179.94814,28.52149,-0.653,0.047,-0.647,0.008,S,0.8,0
179.96339,28.44318,-0.692,0.082,-0.448,0.000,L,1.1,0
179.99640,29.36914,-1.075,0.053,-1.029,0.060,S,3.4,0
180.00217,27.60352,-0.624,0.047,-0.619,0.013,S,0.3,0
180.00296,29.18167,-0.845,0.118,-0.777,0.000,L,1.4,0
180.08952,32.94604,-0.646,0.052,-0.615,0.052,S,2.7,0
180.10576,31.30601,-0.567,0.049,-0.582,0.029,S,1.9,0
180.10915,31.52436,-0.986,0.056,-0.954,0.057,C,2.7,0
180.13634,32.45392,-0.648,0.097,-0.864,0.107,S,0.4,0
180.14790,30.18692,-0.672,0.081,-0.431,0.000,L,1.5,0
180.16484,27.60391,-0.726,0.054,-0.683,0.051,S,0.9,0
180.17683,32.52228,-0.540,0.085,-0.279,0.000,L,2.7,0
180.18037,29.36999,-0.611,0.061,-0.496,0.107,S,5.1,0
180.18399,29.69898,-0.702,0.049,,,,,0
180.18977,28.96274,-0.685,0.050,-0.671,0.036,S,1.7,0
180.19777,29.16159,-0.745,0.063,-0.709,0.103,M,2.1,0
180.20049,29.72367,-0.577,0.048,,,,,0
180.21283,29.14315,-1.047,0.055,-1.018,0.066,M,0.8,0
180.21413,27.11247,-0.719,0.047,-0.720,0.007,S,2.0,0
180.22441,27.76782,-0.983,0.048,-0.974,0.011,S,1.3,0
180.25851,30.08494,-1.053,0.121,-0.926,0.000,L,2.3,0
180.26907,29.16483,-1.314,0.085,-0.918,0.000,L,3.2,1
180.27559,27.92568,-0.586,0.094,-0.419,0.000,L,2.6,0
180.28108,29.85275,-0.593,0.049,-0.554,0.039,S,0.9,0
180.30295,29.96832,-0.680,0.068,-0.551,0.163,S,0.3,0
180.32784,27.64865,-1.010,0.068,-1.031,0.091,S,2.8,0
180.34940,28.79370,-0.724,0.053,-0.659,0.063,S,2.5,0
180.35001,31.70822,-1.087,0.085,-1.176,0.077,S,3.7,0
180.35847,27.12950,-0.901,0.097,-0.658,0.000,L,3.4,0
180.37213,32.86429,-0.976,0.047,-0.957,0.016,S,2.7,0
180.40904,28.91015,-0.803,0.054,-0.751,0.064,S,1.1,0
180.43565,31.48424,-0.749,0.047,-0.700,0.018,S,1.0,0
180.43784,27.55785,-0.746,0.053,-0.735,0.051,S,3.8,0
180.44920,28.66434,-0.625,0.109,-0.535,0.000,L,3.5,0
180.46860,32.94545,-0.371,0.047,-0.574,0.009,S,14.6,0
180.48904,31.74680,-0.712,0.083,-0.475,0.000,L,8.2,0
180.50697,29.23184,-0.871,0.048,-0.849,0.022,S,1.3,0
180.51927,31.22976,-0.833,0.047,-0.822,0.009,S,0.8,0
180.54054,27.68792,-0.220,0.064,-0.380,0.066,C,4.6,0
180.54234,31.23024,-1.104,0.065,,,,,0
180.54544,31.57028,-0.766,0.049,-0.784,0.033,S,0.5,0
180.55157,29.32561,-0.732,0.077,-0.919,0.083,S,2.6,0
180.58401,28.46487,-0.393,0.091,-0.260,0.000,L,8.6,0
180.59363,27.48138,-1.030,0.050,-1.000,0.036,S,1.9,0
