ra,dec,flux_e1,flux_e2,flux_e3,eta,v,image_confirmed,forced_e1,forced_e2,forced_e3,forced_rms_e1,forced_rms_e2,forced_rms_e3,forced_off_e1,forced_off_e2,forced_off_e3,forced_eta,forced_v,forced_offset,simbad_name,simbad_type,simbad_sep,ned_name,ned_type,ned_z,ned_sep,archival_survives
186.227823,21.379665,1486.665,2116.452,31.150,196.67,0.883,False,1288.041,1772.441,1150.137,4.0309,1.8726,0.6631,2.38,2.2,3.24,49205.22,0.233,2.2,7C 122223.5+213929,Bla,3.09,GALEXASC J122454.56+212247.3,UvS,nan,1.62,
192.155570,20.374357,59.424,94.953,1.830,193.46,0.903,False,53.261,79.052,63.455,0.1953,0.1951,0.1394,1.45,1.87,1.3,4460.7,0.199,1.87,7C 1246+2038,QSO,1.59,WISEA J124837.27+202226.4,QSO,0.76802,1.74,
186.607923,9.669237,33.989,,1.126,185.62,1.324,False,30.501,32.725,37.084,0.3991,0.3525,0.2695,2.32,2.31,2.15,108.61,0.1,2.15,,,,,,,,
200.089523,17.720048,461.811,,25.346,181.72,1.267,False,394.8,413.521,398.507,0.2518,0.3208,0.3178,2.93,3.25,3.02,1095.68,0.025,3.25,NRAO 1317+17,Rad,0.49,4C +17.56,RadioS,0.611,1.86,
198.364581,31.923637,27.223,,1.848,173.55,1.234,False,24.985,23.536,27.366,0.1672,0.177,0.1689,3.08,2.76,3.08,126.08,0.076,3.08,6C 131109+321122,BLL,3.8,B2 1311+32,G,0.303,2.58,
186.143501,26.221258,50.157,,3.940,171.32,1.208,False,42.767,38.721,44.25,0.9254,1.0113,1.0565,2.56,2.29,2.52,7.85,0.068,2.52,,,,,,,,
179.710821,21.954392,21.742,,1.577,170.81,1.223,False,19.766,20.64,20.146,0.2231,0.2231,0.1965,2.9,2.93,2.9,3.86,0.022,2.93,,,,,,,,
192.917574,8.932091,133.241,,13.048,163.99,1.162,False,114.338,121.916,115.093,0.4921,0.5794,0.6097,3.94,3.74,3.03,55.41,0.036,3.74,,,,,,,,
193.349644,34.584869,17.438,,1.807,156.63,1.149,False,15.933,18.907,18.668,0.4433,0.4961,0.4659,3.71,3.79,3.76,13.06,0.093,3.79,5C 12.15a,Rad,3.77,FIRST J125323.9+343501,RadioS,nan,3.6,
192.165556,15.929392,15.751,,1.705,154.79,1.138,False,13.712,13.823,13.629,0.1469,0.1207,0.1523,3.29,2.84,3.25,0.52,0.007,2.84,NVSS J124839+155546,rG,0.34,WISEA J124839.78+155545.0,G,nan,1.08,
197.789775,27.465202,90.574,,11.579,152.27,1.094,False,30.238,36.894,32.929,0.5691,0.8441,0.6224,3.96,3.88,3.94,21.68,0.1,3.88,,,,,,,,
191.936817,23.008601,9.278,,1.066,146.88,1.123,False,8.257,8.36,9.809,0.1349,0.1686,0.1287,2.95,2.92,2.92,41.46,0.099,2.92,NVSS J124744+230029,Rad,3.23,NVSS J124744+230029,RadioS,nan,3.6,
181.941929,11.464300,70.501,,11.268,139.94,1.024,False,62.354,59.681,63.766,0.2361,0.309,0.1812,3.09,2.96,2.72,65.84,0.033,2.72,SDSS J120746.06+112750.6,QSO,0.86,WISEA J120745.99+112749.8,*,1.872401,0.84,
181.709230,11.859363,14.723,,2.153,138.77,1.053,False,13.379,11.429,9.514,0.1779,0.1893,0.1671,2.91,2.98,3.22,125.45,0.169,2.91,[CCH82] 1204+1208,Rad,1.73,WISEA J120650.07+115131.7,*,1.387826,2.88,
201.977067,12.386391,203.690,,34.589,136.62,1.004,False,154.841,176.151,139.853,0.2367,0.243,0.2795,2.67,2.86,2.69,4983.49,0.116,2.86,ICRF J132754.6+122309,Sy1,3.29,[VFK2015] J201.97664+12.38660,RadioS,nan,1.68,
178.092651,24.546434,39.931,,6.567,136.57,1.015,False,34.003,39.076,32.024,0.168,0.2286,0.2661,1.88,1.99,1.98,239.0,0.104,1.99,,,,NVSS J115222+243244,RadioS,nan,0.66,
180.239331,31.544012,45.662,,7.740,135.14,1.004,False,44.801,47.263,47.83,0.4897,0.5922,0.3996,2.87,3.27,2.84,11.95,0.035,2.84,,,,FIRST J120057.5+313237,RadioS,nan,1.74,
186.226459,21.381054,67.738,,6.164,134.01,1.178,False,312.409,202.225,211.352,4.3859,2.0023,0.8398,3.82,3.88,3.87,273.27,0.253,3.82,,,,,,,,
193.940997,12.820794,11.891,,2.065,127.90,0.996,False,10.22,11.309,10.534,0.1606,0.1636,0.16,2.17,3.19,3.17,11.92,0.052,3.19,,,,WISEA J125545.75+124909.3,RadioS,nan,4.56,
177.345275,16.591469,19.946,,3.803,126.46,0.961,False,10.726,12.067,10.733,0.1421,0.146,0.148,2.31,2.53,1.65,28.14,0.069,2.53,NVSS J114922+163529,rG,0.96,WISEA J114922.83+163528.7,G,0.477581,0.66,
198.224947,12.324504,62.148,,12.518,124.69,0.940,False,53.744,60.841,55.77,0.6158,0.8611,0.6532,0.77,1.01,0.78,22.57,0.064,1.01,NVSS J131253+121934,Rad,0.18,,,,,
178.321800,21.855146,4.964,,0.695,122.71,1.067,False,4.318,5.499,4.816,0.1272,0.1177,0.1257,3.22,3.37,3.26,23.62,0.122,3.37,NVSS J115317+215119,Rad,3.57,WISEA J115317.15+215118.7,RadioS,nan,0.3,
187.114872,21.376042,7.356,,35.595,120.86,0.930,False,23.43,30.422,34.303,0.444,0.3195,0.151,2.51,2.33,2.37,299.77,0.188,2.37,,,,,,,,
188.559244,7.065923,15.723,,3.138,118.44,0.944,False,12.772,12.766,13.383,0.8767,0.8102,0.9365,3.57,3.53,2.79,0.15,0.027,2.79,,,,,,,,
195.902909,20.384764,10.058,,1.975,115.74,0.950,False,9.201,7.832,6.652,0.1715,0.1598,0.1394,3.65,3.43,3.48,66.92,0.162,3.65,,,,WISEA J130336.52+202303.0,*,0.765,3.24,
188.109857,8.484052,9.499,,1.856,114.96,0.952,False,,,,,,,,,,,,,,,,WISEA J123226.21+082900.3,G,nan,4.08,
198.447755,7.659074,24.684,,5.651,112.77,0.887,False,19.8,22.112,20.135,0.188,0.1674,0.2163,1.37,1.49,1.37,49.45,0.06,1.49,,,,,,,,
197.390723,11.908474,7.527,,41.440,110.50,0.979,False,27.182,15.952,58.145,0.6195,0.5755,0.9374,3.85,3.89,3.76,735.72,0.647,3.76,,,,,,,,
196.711506,22.185723,8.589,,1.796,106.37,0.925,False,6.407,4.928,7.799,0.8194,0.7935,0.9237,3.73,3.54,3.72,2.81,0.225,3.72,,,,,,,,
186.226052,21.377956,68.156,,13.549,105.44,0.945,False,101.065,65.561,52.435,5.2683,2.9831,2.9611,3.09,3.54,3.52,32.44,0.345,3.09,,,,,,,,
188.323776,19.480773,5.549,0.917,,104.27,1.013,False,2.321,1.689,1.946,0.2842,0.2151,0.2024,3.4,3.26,2.89,1.58,0.16,3.4,,,,,,,,
198.152091,24.326521,7.435,,1.686,104.10,0.891,False,6.679,7.396,7.018,0.1176,0.1381,0.1182,2.15,2.06,2.15,7.86,0.051,2.06,NVSS J131236+241935,Rad,0.28,WISEA J131236.43+241934.9,RadioS,nan,0.84,
192.623866,20.569337,6.778,,1.500,103.33,0.902,False,5.984,4.517,4.939,0.2359,0.1979,0.184,2.82,3.27,3.33,11.66,0.147,2.82,NVSS J125030+203412,Rad,4.06,,,,,
198.691529,22.220187,5.674,,1.175,102.83,0.929,False,5.017,5.316,5.61,0.138,0.1611,0.1178,1.95,1.87,1.94,5.36,0.056,1.94,NVSS J131446+221312,Rad,1.32,WISEA J131445.92+221311.3,RadioS,nan,1.5,
185.532328,34.182537,5.197,,1.052,97.69,0.938,False,4.85,5.053,4.214,0.1332,0.1615,0.1183,3.99,3.98,3.11,10.99,0.093,3.98,NVSS J122207+341057,rG,3.88,NVSS J122207+341057,RadioS,nan,1.38,
202.694743,24.232618,9.035,3.149,1.081,85.10,0.933,True,7.198,2.688,1.03,0.1288,0.1398,0.1293,0.34,0.67,0.46,608.2,0.877,0.34,V* FK Com,PM*,0.91,FK Com,V*,nan,0.3,True
179.884258,29.245893,5.841,,51.846,82.86,1.128,False,381.149,743.242,1479.303,0.7927,0.7239,3.2318,3.97,3.9,3.87,94687.81,0.645,3.87,,,,,,,,
188.063855,16.570118,3.810,,0.861,77.31,0.893,False,1.338,1.395,1.526,0.155,0.1487,0.1362,3.39,3.81,3.79,0.45,0.068,3.79,SDSS J123215.18+163412.1,G,2.03,NVSS J123215+163412,RadioS,nan,1.38,
197.633812,20.617202,5.084,28.984,4.272,71.73,1.099,False,5.372,4.876,4.423,0.8121,0.6932,0.6633,0.21,0.6,0.67,0.41,0.097,0.21,,,,,,,,
184.667844,21.817318,3.216,,0.636,63.35,0.947,True,2.924,0.716,0.62,0.2297,0.1647,0.128,0.37,1.65,3.85,40.93,0.918,0.37,,,,,,,,False
