name,common_name,control,above_floor,n_epochs,eta,v,v_se,m_debiased,p_value,mean_flux_jy,alpha_sx
J0854+2006,OJ 287,0,1,123,208.74,0.48060,0.02620,0.47740,0.00e+00,3.795,0.42
J0238+1636,AO 0235+164,0,1,52,104.01,0.40840,0.03382,0.40482,0.00e+00,1.444,0.19
J2253+1608,3C 454.3,0,1,9,93.71,0.35078,0.10020,0.34680,1.45e-156,13.687,0.09
J1224+2122,4C 21.35,0,1,22,80.26,0.33438,0.05989,0.33021,0.00e+00,1.713,0.11
J1407+2827,OQ 208 (CSO),1,0,53,79.56,0.25045,0.03505,0.24509,0.00e+00,1.507,-0.04
J1512-0905,PKS 1510-089,0,1,30,58.72,0.39415,0.03877,0.39048,0.00e+00,2.645,-0.16
J2202+4216,BL Lac,0,1,58,47.53,0.53960,0.06079,0.53661,0.00e+00,3.228,0.19
J0433+0521,3C 120,0,1,48,42.07,0.26654,0.03482,0.26147,0.00e+00,2.200,-0.26
J0006-0623,PKS 0003-066,0,1,70,33.40,0.32131,0.02201,0.31700,0.00e+00,2.787,0.17
J0841+7053,4C 71.07,0,1,21,27.49,0.28772,0.04454,0.28300,1.08e-103,1.957,-0.10
J1256-0547,3C 279,0,1,13,22.64,0.26388,0.04184,0.25879,3.94e-51,14.853,0.52
J0319+4130,3C 84,0,1,9,22.40,0.23128,0.03921,0.22555,1.49e-34,22.344,0.13
J1148+5924,NGC 3894 (CSO),1,0,5,21.08,0.18276,0.08382,0.17558,2.11e-17,0.345,-0.15
J1642+3948,3C 345,0,1,4,18.69,0.21992,0.06606,0.21395,4.04e-12,6.471,-0.06
J0111+3906,0108+388 (CSO),1,0,4,18.55,0.18595,0.07452,0.17892,4.97e-12,0.782,-0.15
J2232+1143,CTA 102,0,1,14,16.32,0.19336,0.02603,0.18655,4.33e-38,3.192,-0.38
J2022+6136,2021+614 (CSO),1,0,21,15.08,0.20063,0.02600,0.19405,3.71e-52,2.694,0.11
J1229+0203,3C 273,0,0,4,6.70,0.12928,0.03733,0.11907,1.61e-04,23.596,-0.24
