name,type,obs_id,band,epoch_mjd,i_mjy,e_i,v_mjy,e_v,offset_arcsec,note
J0007-6959,polar,ASKAP-21199,mid,59226.4,0.1654,0.1661,0.0191,0.1522,11.60,
J0007-6959,polar,ASKAP-21638,mid,59234.4,0.6214,0.4843,-0.8071,0.4735,7.98,
J0007-6959,polar,ASKAP-35971,mid,59595.4,1.4937,0.6780,-0.1895,0.6670,8.38,
J0007-6959,polar,ASKAP-36518,mid,59605.4,0.4955,0.1509,0.0620,0.1512,6.48,
J0007-6959,polar,ASKAP-40514,low,59711.0,0.2816,0.2757,-0.3335,0.2487,11.49,
J0007-6959,polar,ASKAP-40636,low,59714.1,0.3440,0.1711,-0.0575,0.1489,11.02,
J0007-6959,polar,ASKAP-56561,low,60311.4,0.4624,0.3193,0.1785,0.2669,9.05,
J0007-6959,polar,ASKAP-57191,low,60321.4,0.2226,0.1566,-0.0591,0.1237,11.99,
J0007-6959,polar,ASKAP-57251,low,60322.4,nan,nan,nan,nan,nan,
J0007-6959,polar,ASKAP-73177,mid,60790.0,0.8911,0.5170,-0.4104,0.4934,7.46,
J0007-6959,polar,ASKAP-75767,mid,60900.8,0.2153,0.1563,0.2197,0.1496,11.94,
J0141-6753,polar,ASKAP-21311,mid,59228.5,0.2639,0.1691,0.2028,0.1674,2.53,
J0141-6753,polar,ASKAP-21312,mid,59228.5,2.4751,1.1118,-1.3080,0.9869,10.40,
J0141-6753,polar,ASKAP-21590,mid,59233.4,nan,nan,nan,nan,nan,
J0141-6753,polar,ASKAP-21641,mid,59234.4,nan,nan,nan,nan,nan,
J0141-6753,polar,ASKAP-36414,mid,59603.5,nan,nan,nan,nan,nan,
J0141-6753,polar,ASKAP-36576,mid,59606.4,0.3973,0.1695,-0.3396,0.1649,9.24,
J0141-6753,polar,ASKAP-40028,low,59699.2,nan,nan,nan,nan,nan,
J0141-6753,polar,ASKAP-40305,low,59706.1,0.2584,0.1447,-0.0220,0.1184,7.75,
J0141-6753,polar,ASKAP-57140,low,60320.5,nan,nan,nan,nan,nan,
J0141-6753,polar,ASKAP-57192,low,60321.4,0.3756,0.1747,0.1088,0.1620,7.99,
