# Wind/WAVES RAD2 20031028; pad_s=1200; snr_threshold=5
freq_mhz,time_s
13.825,39994.24
13.775,40026.62
13.725,40026.62
13.675,40026.62
13.625,40026.62
13.575,40026.62
13.525,40026.62
13.475,40026.62
13.425,40010.43
13.375,40010.43
13.325,40010.43
13.275,40010.43
13.225,39994.24
13.175,39994.24
13.125,39994.24
13.075,39994.24
13.025,39994.24
12.975,39994.24
12.925,39994.24
12.875,39994.24
12.825,39994.24
12.775,39994.24
12.725,39994.24
12.675,40026.62
12.625,40026.62
12.575,40026.62
12.525,40026.62
12.475,40026.62
12.425,40026.62
12.375,40026.62
12.325,40010.43
12.275,40010.43
12.225,40010.43
12.175,40010.43
12.125,40010.43
12.075,40010.43
12.025,40010.43
11.975,40010.43
11.925,39994.24
11.875,39994.24
11.825,39994.24
11.775,39994.24
11.725,39994.24
11.675,39994.24
11.625,39994.24
11.575,39994.24
11.525,39994.24
11.475,39994.24
11.425,40026.62
11.375,40026.62
11.325,40026.62
11.275,40026.62
11.225,40026.62
11.175,40026.62
11.125,40026.62
11.075,40010.43
11.025,40010.43
10.975,40010.43
10.925,40010.43
10.875,40010.43
10.825,40010.43
10.775,40010.43
10.725,40010.43
10.675,39994.24
10.625,39994.24
10.575,39994.24
10.525,39994.24
10.475,39994.24
10.425,39994.24
10.375,39994.24
10.325,39994.24
10.275,39994.24
10.225,40026.62
10.175,40026.62
10.125,40026.62
10.075,40026.62
10.025,40026.62
9.975,40010.43
9.925,40010.43
9.875,40010.43
9.825,40010.43
9.775,40010.43
9.725,40010.43
9.675,40010.43
9.625,40010.43
9.575,40010.43
9.525,39994.24
9.475,39994.24
9.425,39994.24
9.375,39994.24
9.325,39994.24
9.275,39994.24
9.225,39994.24
9.175,39994.24
9.125,39994.24
9.075,39994.24
9.025,40026.62
8.975,40026.62
8.925,40026.62
8.875,40075.2
8.825,40075.2
8.775,40075.2
8.725,40010.43
8.675,40010.43
8.625,40010.43
8.575,40010.43
8.525,40010.43
8.475,40010.43
8.425,40010.43
8.375,40010.43
8.325,40010.43
8.275,40010.43
8.225,40010.43
8.175,40010.43
8.125,40010.43
8.075,40010.43
8.025,40075.2
7.975,40075.2
7.925,40075.2
7.875,40075.2
7.825,40010.43
7.775,40075.2
7.725,40075.2
7.675,40075.2
7.625,40075.2
7.575,40010.43
7.525,40010.43
7.475,40010.43
7.425,40010.43
7.375,40010.43
7.325,40010.43
7.275,40010.43
7.225,40010.43
7.175,40010.43
7.125,40010.43
7.075,40042.81
7.025,40042.81
6.975,40042.81
6.925,40042.81
6.875,40042.81
6.825,40042.81
6.775,40026.62
6.725,40026.62
6.675,40026.62
6.625,40026.62
6.575,40026.62
6.525,40010.43
6.475,40010.43
6.425,40010.43
6.375,40010.43
6.325,40010.43
6.275,40010.43
6.225,40010.43
6.175,40010.43
6.125,40010.43
6.075,40010.43
6.025,40010.43
5.975,40010.43
5.925,40026.62
5.875,40026.62
5.825,40026.62
5.775,40026.62
5.725,40026.62
5.675,40026.62
5.625,40010.43
5.575,40010.43
5.525,40010.43
5.475,40010.43
5.425,40010.43
5.375,40026.62
5.325,40026.62
5.275,40026.62
5.225,40026.62
5.175,40010.43
5.125,40010.43
5.075,40010.43
5.025,40010.43
4.975,40010.43
4.925,40010.43
4.875,40010.43
4.825,40010.43
4.775,40010.43
4.725,40010.43
4.675,40010.43
4.625,40010.43
4.575,40010.43
4.525,39994.24
4.475,39994.24
4.425,39994.24
4.375,39994.24
4.325,39994.24
4.275,39994.24
4.225,40042.81
4.175,40026.62
4.125,40026.62
4.075,40026.62
4.025,40026.62
3.975,40026.62
3.925,40026.62
3.875,40026.62
3.825,40026.62
3.775,40010.43
3.725,40010.43
3.675,40059.01
3.625,40010.43
3.575,40059.01
3.525,40059.01
3.475,40059.01
3.425,40059.01
3.375,40091.39
3.325,40042.81
3.275,40042.81
3.225,40042.81
3.175,40042.81
3.125,40026.62
3.075,40026.62
3.025,40026.62
2.975,40026.62
2.925,40026.62
2.875,40026.62
2.825,40026.62
2.775,40026.62
2.725,40026.62
2.675,40026.62
2.625,40026.62
2.575,40059.01
2.525,40059.01
2.475,40059.01
2.425,40059.01
2.375,40059.01
2.325,40059.01
2.275,40059.01
2.225,40091.39
2.175,40091.39
2.125,40091.39
2.075,40091.39
2.025,40091.39
1.975,40091.39
1.925,40091.39
1.875,40075.2
1.825,40075.2
1.775,40075.2
1.725,40075.2
1.675,40075.2
1.625,40075.2
1.575,40075.2
1.525,40123.77
1.475,40107.58
1.425,40107.58
1.375,40107.58
1.325,40156.16
1.275,40156.16
1.225,40156.16
1.175,40156.16
1.125,40156.16
1.075,40156.16
